var,var_label,value_type,dataset_id
AGE,Age in years at admission,int32,FL_SID_2014_CORE
AHOUR,Admission Hour,int32,FL_SID_2014_CORE
ATYPE,Admission type,int32,FL_SID_2014_CORE
AWEEKEND,Admission day is a weekend,int32,FL_SID_2014_CORE
DHOUR,Discharge Hour,int32,FL_SID_2014_CORE
DIED,Died during hospitalization,int32,FL_SID_2014_CORE
DISPUB04,Disposition of patient (UB-04 standard coding),int32,FL_SID_2014_CORE
DISPUNIFORM,Disposition of patient (uniform),int32,FL_SID_2014_CORE
DISP_X,Disposition of patient (as received from source),string,FL_SID_2014_CORE
DQTR,Discharge quarter,int32,FL_SID_2014_CORE
DRG,DRG in effect on discharge date,int32,FL_SID_2014_CORE
DRG24,"DRG, version 24",int32,FL_SID_2014_CORE
DRGVER,DRG grouper version used on discharge date,int32,FL_SID_2014_CORE
DRG_NoPOA,"DRG in use on discharge date, calculated without POA",int32,FL_SID_2014_CORE
DSHOSPID,Data source hospital identifier,string,FL_SID_2014_CORE
DX1,Diagnosis 1,string,FL_SID_2014_CORE
DX2,Diagnosis 2,string,FL_SID_2014_CORE
DX3,Diagnosis 3,string,FL_SID_2014_CORE
DX4,Diagnosis 4,string,FL_SID_2014_CORE
DX5,Diagnosis 5,string,FL_SID_2014_CORE
DX6,Diagnosis 6,string,FL_SID_2014_CORE
DX7,Diagnosis 7,string,FL_SID_2014_CORE
DX8,Diagnosis 8,string,FL_SID_2014_CORE
DX9,Diagnosis 9,string,FL_SID_2014_CORE
DX10,Diagnosis 10,string,FL_SID_2014_CORE
DX11,Diagnosis 11,string,FL_SID_2014_CORE
DX12,Diagnosis 12,string,FL_SID_2014_CORE
DX13,Diagnosis 13,string,FL_SID_2014_CORE
DX14,Diagnosis 14,string,FL_SID_2014_CORE
DX15,Diagnosis 15,string,FL_SID_2014_CORE
DX16,Diagnosis 16,string,FL_SID_2014_CORE
DX17,Diagnosis 17,string,FL_SID_2014_CORE
DX18,Diagnosis 18,string,FL_SID_2014_CORE
DX19,Diagnosis 19,string,FL_SID_2014_CORE
DX20,Diagnosis 20,string,FL_SID_2014_CORE
DX21,Diagnosis 21,string,FL_SID_2014_CORE
DX22,Diagnosis 22,string,FL_SID_2014_CORE
DX23,Diagnosis 23,string,FL_SID_2014_CORE
DX24,Diagnosis 24,string,FL_SID_2014_CORE
DX25,Diagnosis 25,string,FL_SID_2014_CORE
DX26,Diagnosis 26,string,FL_SID_2014_CORE
DX27,Diagnosis 27,string,FL_SID_2014_CORE
DX28,Diagnosis 28,string,FL_SID_2014_CORE
DX29,Diagnosis 29,string,FL_SID_2014_CORE
DX30,Diagnosis 30,string,FL_SID_2014_CORE
DX31,Diagnosis 31,string,FL_SID_2014_CORE
DXCCS1,CCS: diagnosis 1,int32,FL_SID_2014_CORE
DXCCS2,CCS: diagnosis 2,int32,FL_SID_2014_CORE
DXCCS3,CCS: diagnosis 3,int32,FL_SID_2014_CORE
DXCCS4,CCS: diagnosis 4,int32,FL_SID_2014_CORE
DXCCS5,CCS: diagnosis 5,int32,FL_SID_2014_CORE
DXCCS6,CCS: diagnosis 6,int32,FL_SID_2014_CORE
DXCCS7,CCS: diagnosis 7,int32,FL_SID_2014_CORE
DXCCS8,CCS: diagnosis 8,int32,FL_SID_2014_CORE
DXCCS9,CCS: diagnosis 9,int32,FL_SID_2014_CORE
DXCCS10,CCS: diagnosis 10,int32,FL_SID_2014_CORE
DXCCS11,CCS: diagnosis 11,int32,FL_SID_2014_CORE
DXCCS12,CCS: diagnosis 12,int32,FL_SID_2014_CORE
DXCCS13,CCS: diagnosis 13,int32,FL_SID_2014_CORE
DXCCS14,CCS: diagnosis 14,int32,FL_SID_2014_CORE
DXCCS15,CCS: diagnosis 15,int32,FL_SID_2014_CORE
DXCCS16,CCS: diagnosis 16,int32,FL_SID_2014_CORE
DXCCS17,CCS: diagnosis 17,int32,FL_SID_2014_CORE
DXCCS18,CCS: diagnosis 18,int32,FL_SID_2014_CORE
DXCCS19,CCS: diagnosis 19,int32,FL_SID_2014_CORE
DXCCS20,CCS: diagnosis 20,int32,FL_SID_2014_CORE
DXCCS21,CCS: diagnosis 21,int32,FL_SID_2014_CORE
DXCCS22,CCS: diagnosis 22,int32,FL_SID_2014_CORE
DXCCS23,CCS: diagnosis 23,int32,FL_SID_2014_CORE
DXCCS24,CCS: diagnosis 24,int32,FL_SID_2014_CORE
DXCCS25,CCS: diagnosis 25,int32,FL_SID_2014_CORE
DXCCS26,CCS: diagnosis 26,int32,FL_SID_2014_CORE
DXCCS27,CCS: diagnosis 27,int32,FL_SID_2014_CORE
DXCCS28,CCS: diagnosis 28,int32,FL_SID_2014_CORE
DXCCS29,CCS: diagnosis 29,int32,FL_SID_2014_CORE
DXCCS30,CCS: diagnosis 30,int32,FL_SID_2014_CORE
DXCCS31,CCS: diagnosis 31,int32,FL_SID_2014_CORE
