var,var_label,value_type,dataset_id
AGE,Age in years at admission,int32,FL_SID_2015q1q3_CORE
AHOUR,Admission Hour,int32,FL_SID_2015q1q3_CORE
ATYPE,Admission type,int32,FL_SID_2015q1q3_CORE
AWEEKEND,Admission day is a weekend,int32,FL_SID_2015q1q3_CORE
DaysToEvent,Days from 'start date' to admission,int32,FL_SID_2015q1q3_CORE
DHOUR,Discharge Hour,int32,FL_SID_2015q1q3_CORE
DIED,Died during hospitalization,int32,FL_SID_2015q1q3_CORE
DISP_X,Disposition of patient (as received from source),string,FL_SID_2015q1q3_CORE
DISPUB04,Disposition of patient (UB-04 standard coding),int32,FL_SID_2015q1q3_CORE
DISPUNIFORM,Disposition of patient (uniform),int32,FL_SID_2015q1q3_CORE
DQTR,Discharge quarter,int32,FL_SID_2015q1q3_CORE
DRG,DRG in effect on discharge date,int32,FL_SID_2015q1q3_CORE
DRG_NoPOA,"DRG in use on discharge date, calculated without POA",int32,FL_SID_2015q1q3_CORE
DRG32,"DRG, version 32",int32,FL_SID_2015q1q3_CORE
DRGVER,DRG grouper version used on discharge date,int32,FL_SID_2015q1q3_CORE
DSHOSPID,Data source hospital identifier,string,FL_SID_2015q1q3_CORE
DX_Admitting,Admitting Diagnosis Code,string,FL_SID_2015q1q3_CORE
DX1,Diagnosis 1,string,FL_SID_2015q1q3_CORE
DX2,Diagnosis 2,string,FL_SID_2015q1q3_CORE
DX3,Diagnosis 3,string,FL_SID_2015q1q3_CORE
DX4,Diagnosis 4,string,FL_SID_2015q1q3_CORE
DX5,Diagnosis 5,string,FL_SID_2015q1q3_CORE
DX6,Diagnosis 6,string,FL_SID_2015q1q3_CORE
DX7,Diagnosis 7,string,FL_SID_2015q1q3_CORE
DX8,Diagnosis 8,string,FL_SID_2015q1q3_CORE
DX9,Diagnosis 9,string,FL_SID_2015q1q3_CORE
DX10,Diagnosis 10,string,FL_SID_2015q1q3_CORE
DX11,Diagnosis 11,string,FL_SID_2015q1q3_CORE
DX12,Diagnosis 12,string,FL_SID_2015q1q3_CORE
DX13,Diagnosis 13,string,FL_SID_2015q1q3_CORE
DX14,Diagnosis 14,string,FL_SID_2015q1q3_CORE
DX15,Diagnosis 15,string,FL_SID_2015q1q3_CORE
DX16,Diagnosis 16,string,FL_SID_2015q1q3_CORE
DX17,Diagnosis 17,string,FL_SID_2015q1q3_CORE
DX18,Diagnosis 18,string,FL_SID_2015q1q3_CORE
DX19,Diagnosis 19,string,FL_SID_2015q1q3_CORE
DX20,Diagnosis 20,string,FL_SID_2015q1q3_CORE
DX21,Diagnosis 21,string,FL_SID_2015q1q3_CORE
DX22,Diagnosis 22,string,FL_SID_2015q1q3_CORE
DX23,Diagnosis 23,string,FL_SID_2015q1q3_CORE
DX24,Diagnosis 24,string,FL_SID_2015q1q3_CORE
DX25,Diagnosis 25,string,FL_SID_2015q1q3_CORE
DX26,Diagnosis 26,string,FL_SID_2015q1q3_CORE
DX27,Diagnosis 27,string,FL_SID_2015q1q3_CORE
DX28,Diagnosis 28,string,FL_SID_2015q1q3_CORE
DX29,Diagnosis 29,string,FL_SID_2015q1q3_CORE
DX30,Diagnosis 30,string,FL_SID_2015q1q3_CORE
DX31,Diagnosis 31,string,FL_SID_2015q1q3_CORE
DXCCS1,CCS: diagnosis 1,int32,FL_SID_2015q1q3_CORE
DXCCS2,CCS: diagnosis 2,int32,FL_SID_2015q1q3_CORE
DXCCS3,CCS: diagnosis 3,int32,FL_SID_2015q1q3_CORE
DXCCS4,CCS: diagnosis 4,int32,FL_SID_2015q1q3_CORE
DXCCS5,CCS: diagnosis 5,int32,FL_SID_2015q1q3_CORE
DXCCS6,CCS: diagnosis 6,int32,FL_SID_2015q1q3_CORE
DXCCS7,CCS: diagnosis 7,int32,FL_SID_2015q1q3_CORE
DXCCS8,CCS: diagnosis 8,int32,FL_SID_2015q1q3_CORE
DXCCS9,CCS: diagnosis 9,int32,FL_SID_2015q1q3_CORE
DXCCS10,CCS: diagnosis 10,int32,FL_SID_2015q1q3_CORE
DXCCS11,CCS: diagnosis 11,int32,FL_SID_2015q1q3_CORE
DXCCS12,CCS: diagnosis 12,int32,FL_SID_2015q1q3_CORE
DXCCS13,CCS: diagnosis 13,int32,FL_SID_2015q1q3_CORE
DXCCS14,CCS: diagnosis 14,int32,FL_SID_2015q1q3_CORE
DXCCS15,CCS: diagnosis 15,int32,FL_SID_2015q1q3_CORE
DXCCS16,CCS: diagnosis 16,int32,FL_SID_2015q1q3_CORE
DXCCS17,CCS: diagnosis 17,int32,FL_SID_2015q1q3_CORE
DXCCS18,CCS: diagnosis 18,int32,FL_SID_2015q1q3_CORE
DXCCS19,CCS: diagnosis 19,int32,FL_SID_2015q1q3_CORE
DXCCS20,CCS: diagnosis 20,int32,FL_SID_2015q1q3_CORE
DXCCS21,CCS: diagnosis 21,int32,FL_SID_2015q1q3_CORE
DXCCS22,CCS: diagnosis 22,int32,FL_SID_2015q1q3_CORE
DXCCS23,CCS: diagnosis 23,int32,FL_SID_2015q1q3_CORE
DXCCS24,CCS: diagnosis 24,int32,FL_SID_2015q1q3_CORE
DXCCS25,CCS: diagnosis 25,int32,FL_SID_2015q1q3_CORE
DXCCS26,CCS: diagnosis 26,int32,FL_SID_2015q1q3_CORE
DXCCS27,CCS: diagnosis 27,int32,FL_SID_2015q1q3_CORE
DXCCS28,CCS: diagnosis 28,int32,FL_SID_2015q1q3_CORE
DXCCS29,CCS: diagnosis 29,int32,FL_SID_2015q1q3_CORE
DXCCS30,CCS: diagnosis 30,int32,FL_SID_2015q1q3_CORE
DXCCS31,CCS: diagnosis 31,int32,FL_SID_2015q1q3_CORE
DXPOA1,"Diagnosis 1, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA2,"Diagnosis 2, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA3,"Diagnosis 3, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA4,"Diagnosis 4, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA5,"Diagnosis 5, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA6,"Diagnosis 6, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA7,"Diagnosis 7, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA8,"Diagnosis 8, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA9,"Diagnosis 9, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA10,"Diagnosis 10, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA11,"Diagnosis 11, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA12,"Diagnosis 12, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA13,"Diagnosis 13, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA14,"Diagnosis 14, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA15,"Diagnosis 15, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA16,"Diagnosis 16, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA17,"Diagnosis 17, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA18,"Diagnosis 18, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA19,"Diagnosis 19, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA20,"Diagnosis 20, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA21,"Diagnosis 21, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA22,"Diagnosis 22, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA23,"Diagnosis 23, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA24,"Diagnosis 24, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA25,"Diagnosis 25, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA26,"Diagnosis 26, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA27,"Diagnosis 27, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA28,"Diagnosis 28, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA29,"Diagnosis 29, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA30,"Diagnosis 30, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXPOA31,"Diagnosis 31, present on admission indicator",string,FL_SID_2015q1q3_CORE
DXVER,Diagnosis Version,int32,FL_SID_2015q1q3_CORE
E_CCS1,CCS: E Code 1,int32,FL_SID_2015q1q3_CORE
E_CCS2,CCS: E Code 2,int32,FL_SID_2015q1q3_CORE
E_CCS3,CCS: E Code 3,int32,FL_SID_2015q1q3_CORE
E_CCS4,CCS: E Code 4,int32,FL_SID_2015q1q3_CORE
E_CCS5,CCS: E Code 5,int32,FL_SID_2015q1q3_CORE
E_CCS6,CCS: E Code 6,int32,FL_SID_2015q1q3_CORE
E_POA1,"E Code 1, present on admission indicator",string,FL_SID_2015q1q3_CORE
E_POA2,"E Code 2, present on admission indicator",string,FL_SID_2015q1q3_CORE
E_POA3,"E Code 3, present on admission indicator",string,FL_SID_2015q1q3_CORE
E_POA4,"E Code 4, present on admission indicator",string,FL_SID_2015q1q3_CORE
E_POA5,"E Code 5, present on admission indicator",string,FL_SID_2015q1q3_CORE
E_POA6,"E Code 6, present on admission indicator",string,FL_SID_2015q1q3_CORE
ECODE1,E code 1,string,FL_SID_2015q1q3_CORE
ECODE2,E code 2,string,FL_SID_2015q1q3_CORE
ECODE3,E code 3,string,FL_SID_2015q1q3_CORE
ECODE4,E code 4,string,FL_SID_2015q1q3_CORE
ECODE5,E code 5,string,FL_SID_2015q1q3_CORE
ECODE6,E code 6,string,FL_SID_2015q1q3_CORE
EDHOUR,Emergency department time of arrival prior to inpatient admission,int32,FL_SID_2015q1q3_CORE
FEMALE,Indicator of sex,int32,FL_SID_2015q1q3_CORE
HCUP_ED,HCUP Emergency Department service indicator,int32,FL_SID_2015q1q3_CORE
HCUP_OS,HCUP Observation Stay service indicator,int32,FL_SID_2015q1q3_CORE
HISPANIC,Hispanic ethnicity (uniform),int32,FL_SID_2015q1q3_CORE
HISPANIC_X,Hispanic ethnicity (as received from source),string,FL_SID_2015q1q3_CORE
Homeless,Indicator that patient is homeless,int32,FL_SID_2015q1q3_CORE
HOSPBRTH,Indicator of birth in this hospital,int32,FL_SID_2015q1q3_CORE
HospitalUnit,Patient was discharged from a special unit within an acute care hospital (report,int32,FL_SID_2015q1q3_CORE
HOSPST,Hospital state postal code,string,FL_SID_2015q1q3_CORE
KEY,HCUP record identifier,double,FL_SID_2015q1q3_CORE
LOS,Length of stay (cleaned),int32,FL_SID_2015q1q3_CORE
LOS_X,Length of stay (as received from source),int32,FL_SID_2015q1q3_CORE
MDC,MDC in effect on discharge date,int32,FL_SID_2015q1q3_CORE
MDC_NoPOA,"MDC in use on discharge date, calculated without POA",int32,FL_SID_2015q1q3_CORE
MDC32,"MDC, version 32",int32,FL_SID_2015q1q3_CORE
MDNUM1_R,Physician 1 number (re-identified),int32,FL_SID_2015q1q3_CORE
MDNUM2_R,Physician 2 number (re-identified),int32,FL_SID_2015q1q3_CORE
MDNUM3_R,Physician 3 number (re-identified),int32,FL_SID_2015q1q3_CORE
MEDINCSTQ,Median household income state quartile for patient ZIP Code,int32,FL_SID_2015q1q3_CORE
NCHRONIC,Number of chronic conditions,int32,FL_SID_2015q1q3_CORE
NDX,Number of diagnoses on this record,int32,FL_SID_2015q1q3_CORE
NECODE,Number of E codes on this record,int32,FL_SID_2015q1q3_CORE
