var,var_label,value_type,dataset_id
BODYSYSTEM1,Body system 1,int32,GA_SID_2015q1q3_DX_PR_GRPS
BODYSYSTEM2,Body system 2,int32,GA_SID_2015q1q3_DX_PR_GRPS
BODYSYSTEM3,Body system 3,int32,GA_SID_2015q1q3_DX_PR_GRPS
BODYSYSTEM4,Body system 4,int32,GA_SID_2015q1q3_DX_PR_GRPS
BODYSYSTEM5,Body system 5,int32,GA_SID_2015q1q3_DX_PR_GRPS
BODYSYSTEM6,Body system 6,int32,GA_SID_2015q1q3_DX_PR_GRPS
BODYSYSTEM7,Body system 7,int32,GA_SID_2015q1q3_DX_PR_GRPS
BODYSYSTEM8,Body system 8,int32,GA_SID_2015q1q3_DX_PR_GRPS
BODYSYSTEM9,Body system 9,int32,GA_SID_2015q1q3_DX_PR_GRPS
BODYSYSTEM10,Body system 10,int32,GA_SID_2015q1q3_DX_PR_GRPS
BODYSYSTEM11,Body system 11,int32,GA_SID_2015q1q3_DX_PR_GRPS
BODYSYSTEM12,Body system 12,int32,GA_SID_2015q1q3_DX_PR_GRPS
BODYSYSTEM13,Body system 13,int32,GA_SID_2015q1q3_DX_PR_GRPS
BODYSYSTEM14,Body system 14,int32,GA_SID_2015q1q3_DX_PR_GRPS
BODYSYSTEM15,Body system 15,int32,GA_SID_2015q1q3_DX_PR_GRPS
BODYSYSTEM16,Body system 16,int32,GA_SID_2015q1q3_DX_PR_GRPS
BODYSYSTEM17,Body system 17,int32,GA_SID_2015q1q3_DX_PR_GRPS
BODYSYSTEM18,Body system 18,int32,GA_SID_2015q1q3_DX_PR_GRPS
BODYSYSTEM19,Body system 19,int32,GA_SID_2015q1q3_DX_PR_GRPS
BODYSYSTEM20,Body system 20,int32,GA_SID_2015q1q3_DX_PR_GRPS
BODYSYSTEM21,Body system 21,int32,GA_SID_2015q1q3_DX_PR_GRPS
BODYSYSTEM22,Body system 22,int32,GA_SID_2015q1q3_DX_PR_GRPS
BODYSYSTEM23,Body system 23,int32,GA_SID_2015q1q3_DX_PR_GRPS
BODYSYSTEM24,Body system 24,int32,GA_SID_2015q1q3_DX_PR_GRPS
