var,var_label,value_type,dataset_id
KEY,HCUP record identifier,double,MA_SID_2015q4_CHGS
NREVCD,Number of revenue codes for this discharge,int32,MA_SID_2015q4_CHGS
REVCD1,Revenue code 1 (as received from source),string,MA_SID_2015q4_CHGS
REVCD2,Revenue code 2 (as received from source),string,MA_SID_2015q4_CHGS
REVCD3,Revenue code 3 (as received from source),string,MA_SID_2015q4_CHGS
REVCD4,Revenue code 4 (as received from source),string,MA_SID_2015q4_CHGS
REVCD5,Revenue code 5 (as received from source),string,MA_SID_2015q4_CHGS
REVCD6,Revenue code 6 (as received from source),string,MA_SID_2015q4_CHGS
REVCD7,Revenue code 7 (as received from source),string,MA_SID_2015q4_CHGS
REVCD8,Revenue code 8 (as received from source),string,MA_SID_2015q4_CHGS
REVCD9,Revenue code 9 (as received from source),string,MA_SID_2015q4_CHGS
REVCD10,Revenue code 10 (as received from source),string,MA_SID_2015q4_CHGS
REVCD11,Revenue code 11 (as received from source),string,MA_SID_2015q4_CHGS
REVCD12,Revenue code 12 (as received from source),string,MA_SID_2015q4_CHGS
REVCD13,Revenue code 13 (as received from source),string,MA_SID_2015q4_CHGS
REVCD14,Revenue code 14 (as received from source),string,MA_SID_2015q4_CHGS
REVCD15,Revenue code 15 (as received from source),string,MA_SID_2015q4_CHGS
REVCD16,Revenue code 16 (as received from source),string,MA_SID_2015q4_CHGS
REVCD17,Revenue code 17 (as received from source),string,MA_SID_2015q4_CHGS
REVCD18,Revenue code 18 (as received from source),string,MA_SID_2015q4_CHGS
REVCD19,Revenue code 19 (as received from source),string,MA_SID_2015q4_CHGS
REVCD20,Revenue code 20 (as received from source),string,MA_SID_2015q4_CHGS
REVCD21,Revenue code 21 (as received from source),string,MA_SID_2015q4_CHGS
REVCD22,Revenue code 22 (as received from source),string,MA_SID_2015q4_CHGS
REVCD23,Revenue code 23 (as received from source),string,MA_SID_2015q4_CHGS
REVCD24,Revenue code 24 (as received from source),string,MA_SID_2015q4_CHGS
REVCD25,Revenue code 25 (as received from source),string,MA_SID_2015q4_CHGS
REVCD26,Revenue code 26 (as received from source),string,MA_SID_2015q4_CHGS
REVCD27,Revenue code 27 (as received from source),string,MA_SID_2015q4_CHGS
REVCD28,Revenue code 28 (as received from source),string,MA_SID_2015q4_CHGS
REVCD29,Revenue code 29 (as received from source),string,MA_SID_2015q4_CHGS
REVCD30,Revenue code 30 (as received from source),string,MA_SID_2015q4_CHGS
REVCD31,Revenue code 31 (as received from source),string,MA_SID_2015q4_CHGS
REVCD32,Revenue code 32 (as received from source),string,MA_SID_2015q4_CHGS
REVCD33,Revenue code 33 (as received from source),string,MA_SID_2015q4_CHGS
REVCD34,Revenue code 34 (as received from source),string,MA_SID_2015q4_CHGS
REVCD35,Revenue code 35 (as received from source),string,MA_SID_2015q4_CHGS
REVCD36,Revenue code 36 (as received from source),string,MA_SID_2015q4_CHGS
REVCD37,Revenue code 37 (as received from source),string,MA_SID_2015q4_CHGS
REVCD38,Revenue code 38 (as received from source),string,MA_SID_2015q4_CHGS
REVCD39,Revenue code 39 (as received from source),string,MA_SID_2015q4_CHGS
REVCD40,Revenue code 40 (as received from source),string,MA_SID_2015q4_CHGS
REVCD41,Revenue code 41 (as received from source),string,MA_SID_2015q4_CHGS
REVCD42,Revenue code 42 (as received from source),string,MA_SID_2015q4_CHGS
REVCD43,Revenue code 43 (as received from source),string,MA_SID_2015q4_CHGS
REVCD44,Revenue code 44 (as received from source),string,MA_SID_2015q4_CHGS
REVCD45,Revenue code 45 (as received from source),string,MA_SID_2015q4_CHGS
REVCD46,Revenue code 46 (as received from source),string,MA_SID_2015q4_CHGS
REVCD47,Revenue code 47 (as received from source),string,MA_SID_2015q4_CHGS
REVCD48,Revenue code 48 (as received from source),string,MA_SID_2015q4_CHGS
REVCD49,Revenue code 49 (as received from source),string,MA_SID_2015q4_CHGS
REVCHG1,Detailed charges for revenue code 1 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG2,Detailed charges for revenue code 2 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG3,Detailed charges for revenue code 3 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG4,Detailed charges for revenue code 4 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG5,Detailed charges for revenue code 5 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG6,Detailed charges for revenue code 6 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG7,Detailed charges for revenue code 7 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG8,Detailed charges for revenue code 8 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG9,Detailed charges for revenue code 9 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG10,Detailed charges for revenue code 10 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG11,Detailed charges for revenue code 11 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG12,Detailed charges for revenue code 12 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG13,Detailed charges for revenue code 13 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG14,Detailed charges for revenue code 14 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG15,Detailed charges for revenue code 15 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG16,Detailed charges for revenue code 16 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG17,Detailed charges for revenue code 17 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG18,Detailed charges for revenue code 18 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG19,Detailed charges for revenue code 19 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG20,Detailed charges for revenue code 20 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG21,Detailed charges for revenue code 21 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG22,Detailed charges for revenue code 22 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG23,Detailed charges for revenue code 23 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG24,Detailed charges for revenue code 24 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG25,Detailed charges for revenue code 25 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG26,Detailed charges for revenue code 26 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG27,Detailed charges for revenue code 27 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG28,Detailed charges for revenue code 28 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG29,Detailed charges for revenue code 29 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG30,Detailed charges for revenue code 30 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG31,Detailed charges for revenue code 31 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG32,Detailed charges for revenue code 32 (as received from source),double,MA_SID_2015q4_CHGS
REVCHG33,Detailed charges for revenue code 33 (as received from source),double,MA_SID_2015q4_CHGS
