var,var_label,value_type,dataset_id
ADRG,All Patient Refined DRG,int32,MA_SID_2015q4_CORE
ADRGRISKMORTALITY,All Patient Refined DRG mortality risk,int32,MA_SID_2015q4_CORE
ADRGSEV,All Patient Refined DRG severity level,int32,MA_SID_2015q4_CORE
AGE,Age in years at admission,int32,MA_SID_2015q4_CORE
AGEMONTH,Age in months (when age < 11 years),int32,MA_SID_2015q4_CORE
AMDC,All Patient Refined MDC,int32,MA_SID_2015q4_CORE
AMONTH,Admission month,int32,MA_SID_2015q4_CORE
ASOURCE,Admission source (uniform),int32,MA_SID_2015q4_CORE
ASOURCE_X,Admission source (as received from source),string,MA_SID_2015q4_CORE
ASOURCEUB92,Admission source (UB-92 standard coding),string,MA_SID_2015q4_CORE
ATYPE,Admission type,int32,MA_SID_2015q4_CORE
AWEEKEND,Admission day is a weekend,int32,MA_SID_2015q4_CORE
BWT,Birth weight in grams,int32,MA_SID_2015q4_CORE
DaysBetweenVisits,Number of days between visits,int32,MA_SID_2015q4_CORE
DaysToEvent,Days from 'start date' to admission,int32,MA_SID_2015q4_CORE
DIED,Died during hospitalization,int32,MA_SID_2015q4_CORE
DISP_X,Disposition of patient (as received from source),string,MA_SID_2015q4_CORE
DISPUB04,Disposition of patient (UB-04 standard coding),int32,MA_SID_2015q4_CORE
DISPUNIFORM,Disposition of patient (uniform),int32,MA_SID_2015q4_CORE
DMONTH,Discharge month,int32,MA_SID_2015q4_CORE
DNR,Do not resuscitate indicator,int32,MA_SID_2015q4_CORE
DQTR,Discharge quarter,int32,MA_SID_2015q4_CORE
DRG,DRG in effect on discharge date,int32,MA_SID_2015q4_CORE
DRG_NoPOA,"DRG in use on discharge date, calculated without POA",int32,MA_SID_2015q4_CORE
DRG32,"DRG, version 32",int32,MA_SID_2015q4_CORE
DRGVER,DRG grouper version used on discharge date,int32,MA_SID_2015q4_CORE
DSHOSPID,Data source hospital identifier,string,MA_SID_2015q4_CORE
DXPOA1,"Diagnosis 1, present on admission indicator",string,MA_SID_2015q4_CORE
DXPOA2,"Diagnosis 2, present on admission indicator",string,MA_SID_2015q4_CORE
DXPOA3,"Diagnosis 3, present on admission indicator",string,MA_SID_2015q4_CORE
DXPOA4,"Diagnosis 4, present on admission indicator",string,MA_SID_2015q4_CORE
DXPOA5,"Diagnosis 5, present on admission indicator",string,MA_SID_2015q4_CORE
DXPOA6,"Diagnosis 6, present on admission indicator",string,MA_SID_2015q4_CORE
DXPOA7,"Diagnosis 7, present on admission indicator",string,MA_SID_2015q4_CORE
DXPOA8,"Diagnosis 8, present on admission indicator",string,MA_SID_2015q4_CORE
DXPOA9,"Diagnosis 9, present on admission indicator",string,MA_SID_2015q4_CORE
DXPOA10,"Diagnosis 10, present on admission indicator",string,MA_SID_2015q4_CORE
DXPOA11,"Diagnosis 11, present on admission indicator",string,MA_SID_2015q4_CORE
DXPOA12,"Diagnosis 12, present on admission indicator",string,MA_SID_2015q4_CORE
DXPOA13,"Diagnosis 13, present on admission indicator",string,MA_SID_2015q4_CORE
DXPOA14,"Diagnosis 14, present on admission indicator",string,MA_SID_2015q4_CORE
DXPOA15,"Diagnosis 15, present on admission indicator",string,MA_SID_2015q4_CORE
DXPOA16,"Diagnosis 16, present on admission indicator",string,MA_SID_2015q4_CORE
DXPOA17,"Diagnosis 17, present on admission indicator",string,MA_SID_2015q4_CORE
DXPOA18,"Diagnosis 18, present on admission indicator",string,MA_SID_2015q4_CORE
DXPOA19,"Diagnosis 19, present on admission indicator",string,MA_SID_2015q4_CORE
DXPOA20,"Diagnosis 20, present on admission indicator",string,MA_SID_2015q4_CORE
