var,value_type,dataset_id
AGE,double,NJ_SID_2012_CORE
AGEDAY,double,NJ_SID_2012_CORE
AGEMONTH,double,NJ_SID_2012_CORE
AHOUR,double,NJ_SID_2012_CORE
AMONTH,double,NJ_SID_2012_CORE
ASOURCE,double,NJ_SID_2012_CORE
ASOURCEUB92,string,NJ_SID_2012_CORE
ASOURCE_X,string,NJ_SID_2012_CORE
ATYPE,double,NJ_SID_2012_CORE
AWEEKEND,double,NJ_SID_2012_CORE
BWT,double,NJ_SID_2012_CORE
CPT1,string,NJ_SID_2012_CORE
CPT2,string,NJ_SID_2012_CORE
CPT3,string,NJ_SID_2012_CORE
CPT4,string,NJ_SID_2012_CORE
CPT5,string,NJ_SID_2012_CORE
CPT6,string,NJ_SID_2012_CORE
CPT7,string,NJ_SID_2012_CORE
CPT8,string,NJ_SID_2012_CORE
CPT9,string,NJ_SID_2012_CORE
CPT10,string,NJ_SID_2012_CORE
CPT11,string,NJ_SID_2012_CORE
CPT12,string,NJ_SID_2012_CORE
CPT13,string,NJ_SID_2012_CORE
CPT14,string,NJ_SID_2012_CORE
CPT15,string,NJ_SID_2012_CORE
CPT16,string,NJ_SID_2012_CORE
CPT17,string,NJ_SID_2012_CORE
CPT18,string,NJ_SID_2012_CORE
CPT19,string,NJ_SID_2012_CORE
CPT20,string,NJ_SID_2012_CORE
CPT21,string,NJ_SID_2012_CORE
CPT22,string,NJ_SID_2012_CORE
CPT23,string,NJ_SID_2012_CORE
CPT24,string,NJ_SID_2012_CORE
CPT25,string,NJ_SID_2012_CORE
CPT26,string,NJ_SID_2012_CORE
CPT27,string,NJ_SID_2012_CORE
CPT28,string,NJ_SID_2012_CORE
CPT29,string,NJ_SID_2012_CORE
CPT30,string,NJ_SID_2012_CORE
CPT31,string,NJ_SID_2012_CORE
CPT32,string,NJ_SID_2012_CORE
CPT33,string,NJ_SID_2012_CORE
CPT34,string,NJ_SID_2012_CORE
CPT35,string,NJ_SID_2012_CORE
CPT36,string,NJ_SID_2012_CORE
CPT37,string,NJ_SID_2012_CORE
CPT38,string,NJ_SID_2012_CORE
CPT39,string,NJ_SID_2012_CORE
CPT40,string,NJ_SID_2012_CORE
CPT41,string,NJ_SID_2012_CORE
CPT42,string,NJ_SID_2012_CORE
CPT43,string,NJ_SID_2012_CORE
CPT44,string,NJ_SID_2012_CORE
CPT45,string,NJ_SID_2012_CORE
CPT46,string,NJ_SID_2012_CORE
CPT47,string,NJ_SID_2012_CORE
CPT48,string,NJ_SID_2012_CORE
CPT49,string,NJ_SID_2012_CORE
CPT50,string,NJ_SID_2012_CORE
CPTCCS1,double,NJ_SID_2012_CORE
CPTCCS2,double,NJ_SID_2012_CORE
CPTCCS3,double,NJ_SID_2012_CORE
CPTCCS4,double,NJ_SID_2012_CORE
CPTCCS5,double,NJ_SID_2012_CORE
CPTCCS6,double,NJ_SID_2012_CORE
CPTCCS7,double,NJ_SID_2012_CORE
CPTCCS8,double,NJ_SID_2012_CORE
CPTCCS9,double,NJ_SID_2012_CORE
CPTCCS10,double,NJ_SID_2012_CORE
CPTCCS11,double,NJ_SID_2012_CORE
CPTCCS12,double,NJ_SID_2012_CORE
CPTCCS13,double,NJ_SID_2012_CORE
CPTCCS14,double,NJ_SID_2012_CORE
CPTCCS15,double,NJ_SID_2012_CORE
CPTCCS16,double,NJ_SID_2012_CORE
CPTCCS17,double,NJ_SID_2012_CORE
CPTCCS18,double,NJ_SID_2012_CORE
CPTCCS19,double,NJ_SID_2012_CORE
CPTCCS20,double,NJ_SID_2012_CORE
CPTCCS21,double,NJ_SID_2012_CORE
CPTCCS22,double,NJ_SID_2012_CORE
CPTCCS23,double,NJ_SID_2012_CORE
CPTCCS24,double,NJ_SID_2012_CORE
CPTCCS25,double,NJ_SID_2012_CORE
CPTCCS26,double,NJ_SID_2012_CORE
CPTCCS27,double,NJ_SID_2012_CORE
CPTCCS28,double,NJ_SID_2012_CORE
CPTCCS29,double,NJ_SID_2012_CORE
CPTCCS30,double,NJ_SID_2012_CORE
CPTCCS31,double,NJ_SID_2012_CORE
CPTCCS32,double,NJ_SID_2012_CORE
CPTCCS33,double,NJ_SID_2012_CORE
CPTCCS34,double,NJ_SID_2012_CORE
CPTCCS35,double,NJ_SID_2012_CORE
CPTCCS36,double,NJ_SID_2012_CORE
CPTCCS37,double,NJ_SID_2012_CORE
