var,value_type,dataset_id
CHRON1,double,NJ_SID_2013_DX_PR_GRPS
CHRON2,double,NJ_SID_2013_DX_PR_GRPS
CHRON3,double,NJ_SID_2013_DX_PR_GRPS
CHRON4,double,NJ_SID_2013_DX_PR_GRPS
CHRON5,double,NJ_SID_2013_DX_PR_GRPS
CHRON6,double,NJ_SID_2013_DX_PR_GRPS
CHRON7,double,NJ_SID_2013_DX_PR_GRPS
CHRON8,double,NJ_SID_2013_DX_PR_GRPS
CHRON9,double,NJ_SID_2013_DX_PR_GRPS
CHRON10,double,NJ_SID_2013_DX_PR_GRPS
CHRON11,double,NJ_SID_2013_DX_PR_GRPS
CHRON12,double,NJ_SID_2013_DX_PR_GRPS
CHRON13,double,NJ_SID_2013_DX_PR_GRPS
CHRON14,double,NJ_SID_2013_DX_PR_GRPS
CHRON15,double,NJ_SID_2013_DX_PR_GRPS
CHRON16,double,NJ_SID_2013_DX_PR_GRPS
CHRON17,double,NJ_SID_2013_DX_PR_GRPS
CHRON18,double,NJ_SID_2013_DX_PR_GRPS
CHRON19,double,NJ_SID_2013_DX_PR_GRPS
CHRON20,double,NJ_SID_2013_DX_PR_GRPS
CHRON21,double,NJ_SID_2013_DX_PR_GRPS
CHRON22,double,NJ_SID_2013_DX_PR_GRPS
CHRON23,double,NJ_SID_2013_DX_PR_GRPS
CHRON24,double,NJ_SID_2013_DX_PR_GRPS
CHRONB1,double,NJ_SID_2013_DX_PR_GRPS
CHRONB2,double,NJ_SID_2013_DX_PR_GRPS
CHRONB3,double,NJ_SID_2013_DX_PR_GRPS
CHRONB4,double,NJ_SID_2013_DX_PR_GRPS
CHRONB5,double,NJ_SID_2013_DX_PR_GRPS
CHRONB6,double,NJ_SID_2013_DX_PR_GRPS
CHRONB7,double,NJ_SID_2013_DX_PR_GRPS
CHRONB8,double,NJ_SID_2013_DX_PR_GRPS
CHRONB9,double,NJ_SID_2013_DX_PR_GRPS
CHRONB10,double,NJ_SID_2013_DX_PR_GRPS
CHRONB11,double,NJ_SID_2013_DX_PR_GRPS
CHRONB12,double,NJ_SID_2013_DX_PR_GRPS
CHRONB13,double,NJ_SID_2013_DX_PR_GRPS
CHRONB14,double,NJ_SID_2013_DX_PR_GRPS
CHRONB15,double,NJ_SID_2013_DX_PR_GRPS
CHRONB16,double,NJ_SID_2013_DX_PR_GRPS
CHRONB17,double,NJ_SID_2013_DX_PR_GRPS
CHRONB18,double,NJ_SID_2013_DX_PR_GRPS
CHRONB19,double,NJ_SID_2013_DX_PR_GRPS
CHRONB20,double,NJ_SID_2013_DX_PR_GRPS
CHRONB21,double,NJ_SID_2013_DX_PR_GRPS
CHRONB22,double,NJ_SID_2013_DX_PR_GRPS
CHRONB23,double,NJ_SID_2013_DX_PR_GRPS
CHRONB24,double,NJ_SID_2013_DX_PR_GRPS
DXMCCS1,string,NJ_SID_2013_DX_PR_GRPS
DXMCCS2,string,NJ_SID_2013_DX_PR_GRPS
DXMCCS3,string,NJ_SID_2013_DX_PR_GRPS
DXMCCS4,string,NJ_SID_2013_DX_PR_GRPS
DXMCCS5,string,NJ_SID_2013_DX_PR_GRPS
DXMCCS6,string,NJ_SID_2013_DX_PR_GRPS
DXMCCS7,string,NJ_SID_2013_DX_PR_GRPS
DXMCCS8,string,NJ_SID_2013_DX_PR_GRPS
DXMCCS9,string,NJ_SID_2013_DX_PR_GRPS
DXMCCS10,string,NJ_SID_2013_DX_PR_GRPS
DXMCCS11,string,NJ_SID_2013_DX_PR_GRPS
DXMCCS12,string,NJ_SID_2013_DX_PR_GRPS
DXMCCS13,string,NJ_SID_2013_DX_PR_GRPS
DXMCCS14,string,NJ_SID_2013_DX_PR_GRPS
DXMCCS15,string,NJ_SID_2013_DX_PR_GRPS
DXMCCS16,string,NJ_SID_2013_DX_PR_GRPS
DXMCCS17,string,NJ_SID_2013_DX_PR_GRPS
DXMCCS18,string,NJ_SID_2013_DX_PR_GRPS
DXMCCS19,string,NJ_SID_2013_DX_PR_GRPS
