var,value_type,dataset_id
KEY,double,NJ_SID_2013_SEVERITY
CM_AIDS,double,NJ_SID_2013_SEVERITY
CM_ALCOHOL,double,NJ_SID_2013_SEVERITY
CM_ANEMDEF,double,NJ_SID_2013_SEVERITY
CM_ARTH,double,NJ_SID_2013_SEVERITY
CM_BLDLOSS,double,NJ_SID_2013_SEVERITY
CM_CHF,double,NJ_SID_2013_SEVERITY
CM_CHRNLUNG,double,NJ_SID_2013_SEVERITY
CM_COAG,double,NJ_SID_2013_SEVERITY
CM_DEPRESS,double,NJ_SID_2013_SEVERITY
CM_DM,double,NJ_SID_2013_SEVERITY
CM_DMCX,double,NJ_SID_2013_SEVERITY
CM_DRUG,double,NJ_SID_2013_SEVERITY
CM_HTN_C,double,NJ_SID_2013_SEVERITY
CM_HYPOTHY,double,NJ_SID_2013_SEVERITY
CM_LIVER,double,NJ_SID_2013_SEVERITY
CM_LYMPH,double,NJ_SID_2013_SEVERITY
CM_LYTES,double,NJ_SID_2013_SEVERITY
CM_METS,double,NJ_SID_2013_SEVERITY
CM_NEURO,double,NJ_SID_2013_SEVERITY
CM_OBESE,double,NJ_SID_2013_SEVERITY
CM_PARA,double,NJ_SID_2013_SEVERITY
CM_PERIVASC,double,NJ_SID_2013_SEVERITY
CM_PSYCH,double,NJ_SID_2013_SEVERITY
CM_PULMCIRC,double,NJ_SID_2013_SEVERITY
CM_RENLFAIL,double,NJ_SID_2013_SEVERITY
CM_TUMOR,double,NJ_SID_2013_SEVERITY
CM_ULCER,double,NJ_SID_2013_SEVERITY
CM_VALVE,double,NJ_SID_2013_SEVERITY
CM_WGHTLOSS,double,NJ_SID_2013_SEVERITY
