var,var_label,value_type,dataset_id
AGE,Age in years at admission,int32,NJ_SID_2015q1q3_CORE
AGEDAY,Age in days (when age < 1 year),int32,NJ_SID_2015q1q3_CORE
AGEMONTH,Age in months (when age < 11 years),int32,NJ_SID_2015q1q3_CORE
AHOUR,Admission Hour,int32,NJ_SID_2015q1q3_CORE
AMONTH,Admission month,int32,NJ_SID_2015q1q3_CORE
ATYPE,Admission type,int32,NJ_SID_2015q1q3_CORE
AWEEKEND,Admission day is a weekend,int32,NJ_SID_2015q1q3_CORE
BILLTYPE,"Type of bill, UB-04 coding",string,NJ_SID_2015q1q3_CORE
BWT,Birth weight in grams,int32,NJ_SID_2015q1q3_CORE
CPT1,CPT/HCPCS procedure code 1,string,NJ_SID_2015q1q3_CORE
CPT2,CPT/HCPCS procedure code 2,string,NJ_SID_2015q1q3_CORE
CPT3,CPT/HCPCS procedure code 3,string,NJ_SID_2015q1q3_CORE
CPT4,CPT/HCPCS procedure code 4,string,NJ_SID_2015q1q3_CORE
CPT5,CPT/HCPCS procedure code 5,string,NJ_SID_2015q1q3_CORE
CPT6,CPT/HCPCS procedure code 6,string,NJ_SID_2015q1q3_CORE
CPT7,CPT/HCPCS procedure code 7,string,NJ_SID_2015q1q3_CORE
CPT8,CPT/HCPCS procedure code 8,string,NJ_SID_2015q1q3_CORE
CPT9,CPT/HCPCS procedure code 9,string,NJ_SID_2015q1q3_CORE
CPT10,CPT/HCPCS procedure code 10,string,NJ_SID_2015q1q3_CORE
CPT11,CPT/HCPCS procedure code 11,string,NJ_SID_2015q1q3_CORE
CPT12,CPT/HCPCS procedure code 12,string,NJ_SID_2015q1q3_CORE
CPT13,CPT/HCPCS procedure code 13,string,NJ_SID_2015q1q3_CORE
CPT14,CPT/HCPCS procedure code 14,string,NJ_SID_2015q1q3_CORE
CPT15,CPT/HCPCS procedure code 15,string,NJ_SID_2015q1q3_CORE
CPT16,CPT/HCPCS procedure code 16,string,NJ_SID_2015q1q3_CORE
CPT17,CPT/HCPCS procedure code 17,string,NJ_SID_2015q1q3_CORE
CPT18,CPT/HCPCS procedure code 18,string,NJ_SID_2015q1q3_CORE
CPT19,CPT/HCPCS procedure code 19,string,NJ_SID_2015q1q3_CORE
CPT20,CPT/HCPCS procedure code 20,string,NJ_SID_2015q1q3_CORE
CPT21,CPT/HCPCS procedure code 21,string,NJ_SID_2015q1q3_CORE
CPT22,CPT/HCPCS procedure code 22,string,NJ_SID_2015q1q3_CORE
CPT23,CPT/HCPCS procedure code 23,string,NJ_SID_2015q1q3_CORE
CPT24,CPT/HCPCS procedure code 24,string,NJ_SID_2015q1q3_CORE
CPT25,CPT/HCPCS procedure code 25,string,NJ_SID_2015q1q3_CORE
CPT26,CPT/HCPCS procedure code 26,string,NJ_SID_2015q1q3_CORE
CPT27,CPT/HCPCS procedure code 27,string,NJ_SID_2015q1q3_CORE
CPT28,CPT/HCPCS procedure code 28,string,NJ_SID_2015q1q3_CORE
CPT29,CPT/HCPCS procedure code 29,string,NJ_SID_2015q1q3_CORE
CPT30,CPT/HCPCS procedure code 30,string,NJ_SID_2015q1q3_CORE
CPT31,CPT/HCPCS procedure code 31,string,NJ_SID_2015q1q3_CORE
CPT32,CPT/HCPCS procedure code 32,string,NJ_SID_2015q1q3_CORE
CPT33,CPT/HCPCS procedure code 33,string,NJ_SID_2015q1q3_CORE
CPT34,CPT/HCPCS procedure code 34,string,NJ_SID_2015q1q3_CORE
CPT35,CPT/HCPCS procedure code 35,string,NJ_SID_2015q1q3_CORE
CPT36,CPT/HCPCS procedure code 36,string,NJ_SID_2015q1q3_CORE
CPT37,CPT/HCPCS procedure code 37,string,NJ_SID_2015q1q3_CORE
CPT38,CPT/HCPCS procedure code 38,string,NJ_SID_2015q1q3_CORE
CPT39,CPT/HCPCS procedure code 39,string,NJ_SID_2015q1q3_CORE
CPT40,CPT/HCPCS procedure code 40,string,NJ_SID_2015q1q3_CORE
CPT41,CPT/HCPCS procedure code 41,string,NJ_SID_2015q1q3_CORE
CPT42,CPT/HCPCS procedure code 42,string,NJ_SID_2015q1q3_CORE
CPT43,CPT/HCPCS procedure code 43,string,NJ_SID_2015q1q3_CORE
CPT44,CPT/HCPCS procedure code 44,string,NJ_SID_2015q1q3_CORE
CPT45,CPT/HCPCS procedure code 45,string,NJ_SID_2015q1q3_CORE
CPT46,CPT/HCPCS procedure code 46,string,NJ_SID_2015q1q3_CORE
CPT47,CPT/HCPCS procedure code 47,string,NJ_SID_2015q1q3_CORE
CPT48,CPT/HCPCS procedure code 48,string,NJ_SID_2015q1q3_CORE
CPT49,CPT/HCPCS procedure code 49,string,NJ_SID_2015q1q3_CORE
CPT50,CPT/HCPCS procedure code 50,string,NJ_SID_2015q1q3_CORE
CPTCCS1,CCS: CPT 1,int32,NJ_SID_2015q1q3_CORE
CPTCCS2,CCS: CPT 2,int32,NJ_SID_2015q1q3_CORE
CPTCCS3,CCS: CPT 3,int32,NJ_SID_2015q1q3_CORE
CPTCCS4,CCS: CPT 4,int32,NJ_SID_2015q1q3_CORE
CPTCCS5,CCS: CPT 5,int32,NJ_SID_2015q1q3_CORE
CPTCCS6,CCS: CPT 6,int32,NJ_SID_2015q1q3_CORE
CPTCCS7,CCS: CPT 7,int32,NJ_SID_2015q1q3_CORE
CPTCCS8,CCS: CPT 8,int32,NJ_SID_2015q1q3_CORE
CPTCCS9,CCS: CPT 9,int32,NJ_SID_2015q1q3_CORE
CPTCCS10,CCS: CPT 10,int32,NJ_SID_2015q1q3_CORE
CPTCCS11,CCS: CPT 11,int32,NJ_SID_2015q1q3_CORE
CPTCCS12,CCS: CPT 12,int32,NJ_SID_2015q1q3_CORE
CPTCCS13,CCS: CPT 13,int32,NJ_SID_2015q1q3_CORE
CPTCCS14,CCS: CPT 14,int32,NJ_SID_2015q1q3_CORE
CPTCCS15,CCS: CPT 15,int32,NJ_SID_2015q1q3_CORE
CPTCCS16,CCS: CPT 16,int32,NJ_SID_2015q1q3_CORE
CPTCCS17,CCS: CPT 17,int32,NJ_SID_2015q1q3_CORE
CPTCCS18,CCS: CPT 18,int32,NJ_SID_2015q1q3_CORE
CPTCCS19,CCS: CPT 19,int32,NJ_SID_2015q1q3_CORE
CPTCCS20,CCS: CPT 20,int32,NJ_SID_2015q1q3_CORE
CPTCCS21,CCS: CPT 21,int32,NJ_SID_2015q1q3_CORE
CPTCCS22,CCS: CPT 22,int32,NJ_SID_2015q1q3_CORE
CPTCCS23,CCS: CPT 23,int32,NJ_SID_2015q1q3_CORE
CPTCCS24,CCS: CPT 24,int32,NJ_SID_2015q1q3_CORE
CPTCCS25,CCS: CPT 25,int32,NJ_SID_2015q1q3_CORE
CPTCCS26,CCS: CPT 26,int32,NJ_SID_2015q1q3_CORE
CPTCCS27,CCS: CPT 27,int32,NJ_SID_2015q1q3_CORE
CPTCCS28,CCS: CPT 28,int32,NJ_SID_2015q1q3_CORE
CPTCCS29,CCS: CPT 29,int32,NJ_SID_2015q1q3_CORE
CPTCCS30,CCS: CPT 30,int32,NJ_SID_2015q1q3_CORE
CPTCCS31,CCS: CPT 31,int32,NJ_SID_2015q1q3_CORE
CPTCCS32,CCS: CPT 32,int32,NJ_SID_2015q1q3_CORE
CPTCCS33,CCS: CPT 33,int32,NJ_SID_2015q1q3_CORE
CPTCCS34,CCS: CPT 34,int32,NJ_SID_2015q1q3_CORE
CPTCCS35,CCS: CPT 35,int32,NJ_SID_2015q1q3_CORE
CPTCCS36,CCS: CPT 36,int32,NJ_SID_2015q1q3_CORE
CPTCCS37,CCS: CPT 37,int32,NJ_SID_2015q1q3_CORE
CPTCCS38,CCS: CPT 38,int32,NJ_SID_2015q1q3_CORE
CPTCCS39,CCS: CPT 39,int32,NJ_SID_2015q1q3_CORE
CPTCCS40,CCS: CPT 40,int32,NJ_SID_2015q1q3_CORE
CPTCCS41,CCS: CPT 41,int32,NJ_SID_2015q1q3_CORE
CPTCCS42,CCS: CPT 42,int32,NJ_SID_2015q1q3_CORE
CPTCCS43,CCS: CPT 43,int32,NJ_SID_2015q1q3_CORE
CPTCCS44,CCS: CPT 44,int32,NJ_SID_2015q1q3_CORE
CPTCCS45,CCS: CPT 45,int32,NJ_SID_2015q1q3_CORE
CPTCCS46,CCS: CPT 46,int32,NJ_SID_2015q1q3_CORE
CPTCCS47,CCS: CPT 47,int32,NJ_SID_2015q1q3_CORE
CPTCCS48,CCS: CPT 48,int32,NJ_SID_2015q1q3_CORE
CPTCCS49,CCS: CPT 49,int32,NJ_SID_2015q1q3_CORE
CPTCCS50,CCS: CPT 50,int32,NJ_SID_2015q1q3_CORE
CPTM1_1,First CPT-4/HCPCS modifier 1,string,NJ_SID_2015q1q3_CORE
CPTM1_2,First CPT-4/HCPCS modifier 2,string,NJ_SID_2015q1q3_CORE
CPTM1_3,First CPT-4/HCPCS modifier 3,string,NJ_SID_2015q1q3_CORE
CPTM1_4,First CPT-4/HCPCS modifier 4,string,NJ_SID_2015q1q3_CORE
CPTM1_5,First CPT-4/HCPCS modifier 5,string,NJ_SID_2015q1q3_CORE
CPTM1_6,First CPT-4/HCPCS modifier 6,string,NJ_SID_2015q1q3_CORE
CPTM1_7,First CPT-4/HCPCS modifier 7,string,NJ_SID_2015q1q3_CORE
CPTM1_8,First CPT-4/HCPCS modifier 8,string,NJ_SID_2015q1q3_CORE
CPTM1_9,First CPT-4/HCPCS modifier 9,string,NJ_SID_2015q1q3_CORE
CPTM1_10,First CPT-4/HCPCS modifier 10,string,NJ_SID_2015q1q3_CORE
CPTM1_11,First CPT-4/HCPCS modifier 11,string,NJ_SID_2015q1q3_CORE
CPTM1_12,First CPT-4/HCPCS modifier 12,string,NJ_SID_2015q1q3_CORE
CPTM1_13,First CPT-4/HCPCS modifier 13,string,NJ_SID_2015q1q3_CORE
CPTM1_14,First CPT-4/HCPCS modifier 14,string,NJ_SID_2015q1q3_CORE
CPTM1_15,First CPT-4/HCPCS modifier 15,string,NJ_SID_2015q1q3_CORE
CPTM1_16,First CPT-4/HCPCS modifier 16,string,NJ_SID_2015q1q3_CORE
CPTM1_17,First CPT-4/HCPCS modifier 17,string,NJ_SID_2015q1q3_CORE
CPTM1_18,First CPT-4/HCPCS modifier 18,string,NJ_SID_2015q1q3_CORE
CPTM1_19,First CPT-4/HCPCS modifier 19,string,NJ_SID_2015q1q3_CORE
CPTM1_20,First CPT-4/HCPCS modifier 20,string,NJ_SID_2015q1q3_CORE
CPTM1_21,First CPT-4/HCPCS modifier 21,string,NJ_SID_2015q1q3_CORE
CPTM1_22,First CPT-4/HCPCS modifier 22,string,NJ_SID_2015q1q3_CORE
CPTM1_23,First CPT-4/HCPCS modifier 23,string,NJ_SID_2015q1q3_CORE
CPTM1_24,First CPT-4/HCPCS modifier 24,string,NJ_SID_2015q1q3_CORE
CPTM1_25,First CPT-4/HCPCS modifier 25,string,NJ_SID_2015q1q3_CORE
CPTM1_26,First CPT-4/HCPCS modifier 26,string,NJ_SID_2015q1q3_CORE
CPTM1_27,First CPT-4/HCPCS modifier 27,string,NJ_SID_2015q1q3_CORE
CPTM1_28,First CPT-4/HCPCS modifier 28,string,NJ_SID_2015q1q3_CORE
CPTM1_29,First CPT-4/HCPCS modifier 29,string,NJ_SID_2015q1q3_CORE
CPTM1_30,First CPT-4/HCPCS modifier 30,string,NJ_SID_2015q1q3_CORE
CPTM1_31,First CPT-4/HCPCS modifier 31,string,NJ_SID_2015q1q3_CORE
CPTM1_32,First CPT-4/HCPCS modifier 32,string,NJ_SID_2015q1q3_CORE
CPTM1_33,First CPT-4/HCPCS modifier 33,string,NJ_SID_2015q1q3_CORE
CPTM1_34,First CPT-4/HCPCS modifier 34,string,NJ_SID_2015q1q3_CORE
CPTM1_35,First CPT-4/HCPCS modifier 35,string,NJ_SID_2015q1q3_CORE
CPTM1_36,First CPT-4/HCPCS modifier 36,string,NJ_SID_2015q1q3_CORE
CPTM1_37,First CPT-4/HCPCS modifier 37,string,NJ_SID_2015q1q3_CORE
CPTM1_38,First CPT-4/HCPCS modifier 38,string,NJ_SID_2015q1q3_CORE
CPTM1_39,First CPT-4/HCPCS modifier 39,string,NJ_SID_2015q1q3_CORE
CPTM1_40,First CPT-4/HCPCS modifier 40,string,NJ_SID_2015q1q3_CORE
CPTM1_41,First CPT-4/HCPCS modifier 41,string,NJ_SID_2015q1q3_CORE
CPTM1_42,First CPT-4/HCPCS modifier 42,string,NJ_SID_2015q1q3_CORE
CPTM1_43,First CPT-4/HCPCS modifier 43,string,NJ_SID_2015q1q3_CORE
CPTM1_44,First CPT-4/HCPCS modifier 44,string,NJ_SID_2015q1q3_CORE
CPTM1_45,First CPT-4/HCPCS modifier 45,string,NJ_SID_2015q1q3_CORE
CPTM1_46,First CPT-4/HCPCS modifier 46,string,NJ_SID_2015q1q3_CORE
CPTM1_47,First CPT-4/HCPCS modifier 47,string,NJ_SID_2015q1q3_CORE
CPTM1_48,First CPT-4/HCPCS modifier 48,string,NJ_SID_2015q1q3_CORE
CPTM1_49,First CPT-4/HCPCS modifier 49,string,NJ_SID_2015q1q3_CORE
CPTM1_50,First CPT-4/HCPCS modifier 50,string,NJ_SID_2015q1q3_CORE
CPTM2_1,Second CPT-4/HCPCS modifier 1,string,NJ_SID_2015q1q3_CORE
CPTM2_2,Second CPT-4/HCPCS modifier 2,string,NJ_SID_2015q1q3_CORE
CPTM2_3,Second CPT-4/HCPCS modifier 3,string,NJ_SID_2015q1q3_CORE
CPTM2_4,Second CPT-4/HCPCS modifier 4,string,NJ_SID_2015q1q3_CORE
CPTM2_5,Second CPT-4/HCPCS modifier 5,string,NJ_SID_2015q1q3_CORE
CPTM2_6,Second CPT-4/HCPCS modifier 6,string,NJ_SID_2015q1q3_CORE
CPTM2_7,Second CPT-4/HCPCS modifier 7,string,NJ_SID_2015q1q3_CORE
CPTM2_8,Second CPT-4/HCPCS modifier 8,string,NJ_SID_2015q1q3_CORE
CPTM2_9,Second CPT-4/HCPCS modifier 9,string,NJ_SID_2015q1q3_CORE
CPTM2_10,Second CPT-4/HCPCS modifier 10,string,NJ_SID_2015q1q3_CORE
CPTM2_11,Second CPT-4/HCPCS modifier 11,string,NJ_SID_2015q1q3_CORE
CPTM2_12,Second CPT-4/HCPCS modifier 12,string,NJ_SID_2015q1q3_CORE
CPTM2_13,Second CPT-4/HCPCS modifier 13,string,NJ_SID_2015q1q3_CORE
CPTM2_14,Second CPT-4/HCPCS modifier 14,string,NJ_SID_2015q1q3_CORE
CPTM2_15,Second CPT-4/HCPCS modifier 15,string,NJ_SID_2015q1q3_CORE
CPTM2_16,Second CPT-4/HCPCS modifier 16,string,NJ_SID_2015q1q3_CORE
CPTM2_17,Second CPT-4/HCPCS modifier 17,string,NJ_SID_2015q1q3_CORE
CPTM2_18,Second CPT-4/HCPCS modifier 18,string,NJ_SID_2015q1q3_CORE
CPTM2_19,Second CPT-4/HCPCS modifier 19,string,NJ_SID_2015q1q3_CORE
CPTM2_20,Second CPT-4/HCPCS modifier 20,string,NJ_SID_2015q1q3_CORE
CPTM2_21,Second CPT-4/HCPCS modifier 21,string,NJ_SID_2015q1q3_CORE
CPTM2_22,Second CPT-4/HCPCS modifier 22,string,NJ_SID_2015q1q3_CORE
CPTM2_23,Second CPT-4/HCPCS modifier 23,string,NJ_SID_2015q1q3_CORE
CPTM2_24,Second CPT-4/HCPCS modifier 24,string,NJ_SID_2015q1q3_CORE
CPTM2_25,Second CPT-4/HCPCS modifier 25,string,NJ_SID_2015q1q3_CORE
CPTM2_26,Second CPT-4/HCPCS modifier 26,string,NJ_SID_2015q1q3_CORE
CPTM2_27,Second CPT-4/HCPCS modifier 27,string,NJ_SID_2015q1q3_CORE
CPTM2_28,Second CPT-4/HCPCS modifier 28,string,NJ_SID_2015q1q3_CORE
CPTM2_29,Second CPT-4/HCPCS modifier 29,string,NJ_SID_2015q1q3_CORE
CPTM2_30,Second CPT-4/HCPCS modifier 30,string,NJ_SID_2015q1q3_CORE
CPTM2_31,Second CPT-4/HCPCS modifier 31,string,NJ_SID_2015q1q3_CORE
CPTM2_32,Second CPT-4/HCPCS modifier 32,string,NJ_SID_2015q1q3_CORE
CPTM2_33,Second CPT-4/HCPCS modifier 33,string,NJ_SID_2015q1q3_CORE
CPTM2_34,Second CPT-4/HCPCS modifier 34,string,NJ_SID_2015q1q3_CORE
CPTM2_35,Second CPT-4/HCPCS modifier 35,string,NJ_SID_2015q1q3_CORE
CPTM2_36,Second CPT-4/HCPCS modifier 36,string,NJ_SID_2015q1q3_CORE
CPTM2_37,Second CPT-4/HCPCS modifier 37,string,NJ_SID_2015q1q3_CORE
CPTM2_38,Second CPT-4/HCPCS modifier 38,string,NJ_SID_2015q1q3_CORE
CPTM2_39,Second CPT-4/HCPCS modifier 39,string,NJ_SID_2015q1q3_CORE
CPTM2_40,Second CPT-4/HCPCS modifier 40,string,NJ_SID_2015q1q3_CORE
CPTM2_41,Second CPT-4/HCPCS modifier 41,string,NJ_SID_2015q1q3_CORE
CPTM2_42,Second CPT-4/HCPCS modifier 42,string,NJ_SID_2015q1q3_CORE
CPTM2_43,Second CPT-4/HCPCS modifier 43,string,NJ_SID_2015q1q3_CORE
CPTM2_44,Second CPT-4/HCPCS modifier 44,string,NJ_SID_2015q1q3_CORE
CPTM2_45,Second CPT-4/HCPCS modifier 45,string,NJ_SID_2015q1q3_CORE
CPTM2_46,Second CPT-4/HCPCS modifier 46,string,NJ_SID_2015q1q3_CORE
CPTM2_47,Second CPT-4/HCPCS modifier 47,string,NJ_SID_2015q1q3_CORE
CPTM2_48,Second CPT-4/HCPCS modifier 48,string,NJ_SID_2015q1q3_CORE
CPTM2_49,Second CPT-4/HCPCS modifier 49,string,NJ_SID_2015q1q3_CORE
CPTM2_50,Second CPT-4/HCPCS modifier 50,string,NJ_SID_2015q1q3_CORE
DHOUR,Discharge Hour,int32,NJ_SID_2015q1q3_CORE
DIED,Died during hospitalization,int32,NJ_SID_2015q1q3_CORE
DISP_X,Disposition of patient (as received from source),string,NJ_SID_2015q1q3_CORE
DISPUB04,Disposition of patient (UB-04 standard coding),int32,NJ_SID_2015q1q3_CORE
DISPUNIFORM,Disposition of patient (uniform),int32,NJ_SID_2015q1q3_CORE
DMONTH,Discharge month,int32,NJ_SID_2015q1q3_CORE
DNR,Do not resuscitate indicator,int32,NJ_SID_2015q1q3_CORE
DQTR,Discharge quarter,int32,NJ_SID_2015q1q3_CORE
DRG,DRG in effect on discharge date,int32,NJ_SID_2015q1q3_CORE
DRG_NoPOA,"DRG in use on discharge date, calculated without POA",int32,NJ_SID_2015q1q3_CORE
DRG32,"DRG, version 32",int32,NJ_SID_2015q1q3_CORE
DRGVER,DRG grouper version used on discharge date,int32,NJ_SID_2015q1q3_CORE
DSHOSPID,Data source hospital identifier,string,NJ_SID_2015q1q3_CORE
DX_Admitting,Admitting Diagnosis Code,string,NJ_SID_2015q1q3_CORE
DX1,Diagnosis 1,string,NJ_SID_2015q1q3_CORE
DX2,Diagnosis 2,string,NJ_SID_2015q1q3_CORE
DX3,Diagnosis 3,string,NJ_SID_2015q1q3_CORE
DX4,Diagnosis 4,string,NJ_SID_2015q1q3_CORE
DX5,Diagnosis 5,string,NJ_SID_2015q1q3_CORE
DX6,Diagnosis 6,string,NJ_SID_2015q1q3_CORE
DX7,Diagnosis 7,string,NJ_SID_2015q1q3_CORE
DX8,Diagnosis 8,string,NJ_SID_2015q1q3_CORE
DX9,Diagnosis 9,string,NJ_SID_2015q1q3_CORE
DX10,Diagnosis 10,string,NJ_SID_2015q1q3_CORE
DX11,Diagnosis 11,string,NJ_SID_2015q1q3_CORE
DX12,Diagnosis 12,string,NJ_SID_2015q1q3_CORE
DX13,Diagnosis 13,string,NJ_SID_2015q1q3_CORE
DX14,Diagnosis 14,string,NJ_SID_2015q1q3_CORE
DX15,Diagnosis 15,string,NJ_SID_2015q1q3_CORE
DX16,Diagnosis 16,string,NJ_SID_2015q1q3_CORE
DX17,Diagnosis 17,string,NJ_SID_2015q1q3_CORE
DX18,Diagnosis 18,string,NJ_SID_2015q1q3_CORE
DX19,Diagnosis 19,string,NJ_SID_2015q1q3_CORE
DX20,Diagnosis 20,string,NJ_SID_2015q1q3_CORE
DX21,Diagnosis 21,string,NJ_SID_2015q1q3_CORE
DX22,Diagnosis 22,string,NJ_SID_2015q1q3_CORE
DX23,Diagnosis 23,string,NJ_SID_2015q1q3_CORE
DX24,Diagnosis 24,string,NJ_SID_2015q1q3_CORE
DX25,Diagnosis 25,string,NJ_SID_2015q1q3_CORE
DXCCS1,CCS: diagnosis 1,int32,NJ_SID_2015q1q3_CORE
DXCCS2,CCS: diagnosis 2,int32,NJ_SID_2015q1q3_CORE
DXCCS3,CCS: diagnosis 3,int32,NJ_SID_2015q1q3_CORE
DXCCS4,CCS: diagnosis 4,int32,NJ_SID_2015q1q3_CORE
DXCCS5,CCS: diagnosis 5,int32,NJ_SID_2015q1q3_CORE
DXCCS6,CCS: diagnosis 6,int32,NJ_SID_2015q1q3_CORE
DXCCS7,CCS: diagnosis 7,int32,NJ_SID_2015q1q3_CORE
DXCCS8,CCS: diagnosis 8,int32,NJ_SID_2015q1q3_CORE
DXCCS9,CCS: diagnosis 9,int32,NJ_SID_2015q1q3_CORE
DXCCS10,CCS: diagnosis 10,int32,NJ_SID_2015q1q3_CORE
DXCCS11,CCS: diagnosis 11,int32,NJ_SID_2015q1q3_CORE
DXCCS12,CCS: diagnosis 12,int32,NJ_SID_2015q1q3_CORE
DXCCS13,CCS: diagnosis 13,int32,NJ_SID_2015q1q3_CORE
DXCCS14,CCS: diagnosis 14,int32,NJ_SID_2015q1q3_CORE
DXCCS15,CCS: diagnosis 15,int32,NJ_SID_2015q1q3_CORE
DXCCS16,CCS: diagnosis 16,int32,NJ_SID_2015q1q3_CORE
DXCCS17,CCS: diagnosis 17,int32,NJ_SID_2015q1q3_CORE
DXCCS18,CCS: diagnosis 18,int32,NJ_SID_2015q1q3_CORE
DXCCS19,CCS: diagnosis 19,int32,NJ_SID_2015q1q3_CORE
DXCCS20,CCS: diagnosis 20,int32,NJ_SID_2015q1q3_CORE
DXCCS21,CCS: diagnosis 21,int32,NJ_SID_2015q1q3_CORE
DXCCS22,CCS: diagnosis 22,int32,NJ_SID_2015q1q3_CORE
DXCCS23,CCS: diagnosis 23,int32,NJ_SID_2015q1q3_CORE
DXCCS24,CCS: diagnosis 24,int32,NJ_SID_2015q1q3_CORE
DXCCS25,CCS: diagnosis 25,int32,NJ_SID_2015q1q3_CORE
DXPOA1,"Diagnosis 1, present on admission indicator",string,NJ_SID_2015q1q3_CORE
DXPOA2,"Diagnosis 2, present on admission indicator",string,NJ_SID_2015q1q3_CORE
DXPOA3,"Diagnosis 3, present on admission indicator",string,NJ_SID_2015q1q3_CORE
DXPOA4,"Diagnosis 4, present on admission indicator",string,NJ_SID_2015q1q3_CORE
DXPOA5,"Diagnosis 5, present on admission indicator",string,NJ_SID_2015q1q3_CORE
DXPOA6,"Diagnosis 6, present on admission indicator",string,NJ_SID_2015q1q3_CORE
DXPOA7,"Diagnosis 7, present on admission indicator",string,NJ_SID_2015q1q3_CORE
DXPOA8,"Diagnosis 8, present on admission indicator",string,NJ_SID_2015q1q3_CORE
DXPOA9,"Diagnosis 9, present on admission indicator",string,NJ_SID_2015q1q3_CORE
DXPOA10,"Diagnosis 10, present on admission indicator",string,NJ_SID_2015q1q3_CORE
DXPOA11,"Diagnosis 11, present on admission indicator",string,NJ_SID_2015q1q3_CORE
DXPOA12,"Diagnosis 12, present on admission indicator",string,NJ_SID_2015q1q3_CORE
DXPOA13,"Diagnosis 13, present on admission indicator",string,NJ_SID_2015q1q3_CORE
DXPOA14,"Diagnosis 14, present on admission indicator",string,NJ_SID_2015q1q3_CORE
DXPOA15,"Diagnosis 15, present on admission indicator",string,NJ_SID_2015q1q3_CORE
DXPOA16,"Diagnosis 16, present on admission indicator",string,NJ_SID_2015q1q3_CORE
DXPOA17,"Diagnosis 17, present on admission indicator",string,NJ_SID_2015q1q3_CORE
DXPOA18,"Diagnosis 18, present on admission indicator",string,NJ_SID_2015q1q3_CORE
DXPOA19,"Diagnosis 19, present on admission indicator",string,NJ_SID_2015q1q3_CORE
DXPOA20,"Diagnosis 20, present on admission indicator",string,NJ_SID_2015q1q3_CORE
DXPOA21,"Diagnosis 21, present on admission indicator",string,NJ_SID_2015q1q3_CORE
DXPOA22,"Diagnosis 22, present on admission indicator",string,NJ_SID_2015q1q3_CORE
DXPOA23,"Diagnosis 23, present on admission indicator",string,NJ_SID_2015q1q3_CORE
DXPOA24,"Diagnosis 24, present on admission indicator",string,NJ_SID_2015q1q3_CORE
DXPOA25,"Diagnosis 25, present on admission indicator",string,NJ_SID_2015q1q3_CORE
DXVER,Diagnosis Version,int32,NJ_SID_2015q1q3_CORE
E_CCS1,CCS: E Code 1,int32,NJ_SID_2015q1q3_CORE
E_CCS2,CCS: E Code 2,int32,NJ_SID_2015q1q3_CORE
E_CCS3,CCS: E Code 3,int32,NJ_SID_2015q1q3_CORE
E_CCS4,CCS: E Code 4,int32,NJ_SID_2015q1q3_CORE
E_CCS5,CCS: E Code 5,int32,NJ_SID_2015q1q3_CORE
E_CCS6,CCS: E Code 6,int32,NJ_SID_2015q1q3_CORE
E_CCS7,CCS: E Code 7,int32,NJ_SID_2015q1q3_CORE
E_CCS8,CCS: E Code 8,int32,NJ_SID_2015q1q3_CORE
E_CCS9,CCS: E Code 9,int32,NJ_SID_2015q1q3_CORE
E_CCS10,CCS: E Code 10,int32,NJ_SID_2015q1q3_CORE
E_POA1,"E Code 1, present on admission indicator",string,NJ_SID_2015q1q3_CORE
E_POA2,"E Code 2, present on admission indicator",string,NJ_SID_2015q1q3_CORE
E_POA3,"E Code 3, present on admission indicator",string,NJ_SID_2015q1q3_CORE
E_POA4,"E Code 4, present on admission indicator",string,NJ_SID_2015q1q3_CORE
E_POA5,"E Code 5, present on admission indicator",string,NJ_SID_2015q1q3_CORE
E_POA6,"E Code 6, present on admission indicator",string,NJ_SID_2015q1q3_CORE
E_POA7,"E Code 7, present on admission indicator",string,NJ_SID_2015q1q3_CORE
E_POA8,"E Code 8, present on admission indicator",string,NJ_SID_2015q1q3_CORE
E_POA9,"E Code 9, present on admission indicator",string,NJ_SID_2015q1q3_CORE
