var,var_label,value_type,dataset_id
AGE,Age in years at admission,int32,NY_SID_2017_CORE
AGEDAY,Age in days (when age < 1 year),int32,NY_SID_2017_CORE
AGEMONTH,Age in months (when age < 11 years),int32,NY_SID_2017_CORE
AHOUR,Admission Hour,int32,NY_SID_2017_CORE
AMONTH,Admission month,int32,NY_SID_2017_CORE
ANESTH,Method of anesthesia,int32,NY_SID_2017_CORE
ATYPE,Admission type,int32,NY_SID_2017_CORE
AWEEKEND,Admission day is a weekend,int32,NY_SID_2017_CORE
BLOOD,Pints of blood furnished to the patient,int32,NY_SID_2017_CORE
BWT,Birth weight in grams,int32,NY_SID_2017_CORE
DaysToEvent,Days from 'start date' to admission,int32,NY_SID_2017_CORE
DHOUR,Discharge Hour,int32,NY_SID_2017_CORE
DIED,Died during hospitalization,int32,NY_SID_2017_CORE
DISP_X,Disposition of patient (as received from source),string,NY_SID_2017_CORE
DISPUB04,Disposition of patient (UB-04 standard coding),int32,NY_SID_2017_CORE
DISPUNIFORM,Disposition of patient (uniform),int32,NY_SID_2017_CORE
DMONTH,Discharge month,int32,NY_SID_2017_CORE
DQTR,Discharge quarter,int32,NY_SID_2017_CORE
DRG,DRG in effect on discharge date,int32,NY_SID_2017_CORE
DRG_NoPOA,"DRG in use on discharge date, calculated without POA",int32,NY_SID_2017_CORE
DRGVER,DRG grouper version used on discharge date,int32,NY_SID_2017_CORE
DSHOSPID,Data source hospital identifier,string,NY_SID_2017_CORE
DXPOA1,"Diagnosis 1, present on admission indicator",string,NY_SID_2017_CORE
DXPOA2,"Diagnosis 2, present on admission indicator",string,NY_SID_2017_CORE
DXPOA3,"Diagnosis 3, present on admission indicator",string,NY_SID_2017_CORE
DXPOA4,"Diagnosis 4, present on admission indicator",string,NY_SID_2017_CORE
DXPOA5,"Diagnosis 5, present on admission indicator",string,NY_SID_2017_CORE
DXPOA6,"Diagnosis 6, present on admission indicator",string,NY_SID_2017_CORE
DXPOA7,"Diagnosis 7, present on admission indicator",string,NY_SID_2017_CORE
DXPOA8,"Diagnosis 8, present on admission indicator",string,NY_SID_2017_CORE
DXPOA9,"Diagnosis 9, present on admission indicator",string,NY_SID_2017_CORE
DXPOA10,"Diagnosis 10, present on admission indicator",string,NY_SID_2017_CORE
DXPOA11,"Diagnosis 11, present on admission indicator",string,NY_SID_2017_CORE
DXPOA12,"Diagnosis 12, present on admission indicator",string,NY_SID_2017_CORE
DXPOA13,"Diagnosis 13, present on admission indicator",string,NY_SID_2017_CORE
DXPOA14,"Diagnosis 14, present on admission indicator",string,NY_SID_2017_CORE
DXPOA15,"Diagnosis 15, present on admission indicator",string,NY_SID_2017_CORE
