var,var_label,value_type,dataset_id
AGE,Age in years at admission,int32,GA_SID_2015q1q3_CORE
AGEDAY,Age in days (when age < 1 year),int32,GA_SID_2015q1q3_CORE
AGEMONTH,Age in months (when age < 11 years),int32,GA_SID_2015q1q3_CORE
AMONTH,Admission month,int32,GA_SID_2015q1q3_CORE
ATYPE,Admission type,int32,GA_SID_2015q1q3_CORE
AWEEKEND,Admission day is a weekend,int32,GA_SID_2015q1q3_CORE
BILLTYPE,"Type of bill, UB-04 coding",string,GA_SID_2015q1q3_CORE
BWT,Birth weight in grams,int32,GA_SID_2015q1q3_CORE
CPT1,CPT/HCPCS procedure code 1,string,GA_SID_2015q1q3_CORE
CPT2,CPT/HCPCS procedure code 2,string,GA_SID_2015q1q3_CORE
CPT3,CPT/HCPCS procedure code 3,string,GA_SID_2015q1q3_CORE
CPT4,CPT/HCPCS procedure code 4,string,GA_SID_2015q1q3_CORE
CPT5,CPT/HCPCS procedure code 5,string,GA_SID_2015q1q3_CORE
CPT6,CPT/HCPCS procedure code 6,string,GA_SID_2015q1q3_CORE
CPT7,CPT/HCPCS procedure code 7,string,GA_SID_2015q1q3_CORE
CPT8,CPT/HCPCS procedure code 8,string,GA_SID_2015q1q3_CORE
CPT9,CPT/HCPCS procedure code 9,string,GA_SID_2015q1q3_CORE
CPT10,CPT/HCPCS procedure code 10,string,GA_SID_2015q1q3_CORE
CPT11,CPT/HCPCS procedure code 11,string,GA_SID_2015q1q3_CORE
CPT12,CPT/HCPCS procedure code 12,string,GA_SID_2015q1q3_CORE
CPT13,CPT/HCPCS procedure code 13,string,GA_SID_2015q1q3_CORE
CPT14,CPT/HCPCS procedure code 14,string,GA_SID_2015q1q3_CORE
CPT15,CPT/HCPCS procedure code 15,string,GA_SID_2015q1q3_CORE
CPT16,CPT/HCPCS procedure code 16,string,GA_SID_2015q1q3_CORE
CPT17,CPT/HCPCS procedure code 17,string,GA_SID_2015q1q3_CORE
CPT18,CPT/HCPCS procedure code 18,string,GA_SID_2015q1q3_CORE
CPT19,CPT/HCPCS procedure code 19,string,GA_SID_2015q1q3_CORE
CPT20,CPT/HCPCS procedure code 20,string,GA_SID_2015q1q3_CORE
CPT21,CPT/HCPCS procedure code 21,string,GA_SID_2015q1q3_CORE
CPT22,CPT/HCPCS procedure code 22,string,GA_SID_2015q1q3_CORE
CPT23,CPT/HCPCS procedure code 23,string,GA_SID_2015q1q3_CORE
CPT24,CPT/HCPCS procedure code 24,string,GA_SID_2015q1q3_CORE
CPT25,CPT/HCPCS procedure code 25,string,GA_SID_2015q1q3_CORE
CPT26,CPT/HCPCS procedure code 26,string,GA_SID_2015q1q3_CORE
CPT27,CPT/HCPCS procedure code 27,string,GA_SID_2015q1q3_CORE
CPT28,CPT/HCPCS procedure code 28,string,GA_SID_2015q1q3_CORE
CPT29,CPT/HCPCS procedure code 29,string,GA_SID_2015q1q3_CORE
CPT30,CPT/HCPCS procedure code 30,string,GA_SID_2015q1q3_CORE
CPT31,CPT/HCPCS procedure code 31,string,GA_SID_2015q1q3_CORE
CPT32,CPT/HCPCS procedure code 32,string,GA_SID_2015q1q3_CORE
CPT33,CPT/HCPCS procedure code 33,string,GA_SID_2015q1q3_CORE
CPT34,CPT/HCPCS procedure code 34,string,GA_SID_2015q1q3_CORE
CPT35,CPT/HCPCS procedure code 35,string,GA_SID_2015q1q3_CORE
CPT36,CPT/HCPCS procedure code 36,string,GA_SID_2015q1q3_CORE
CPT37,CPT/HCPCS procedure code 37,string,GA_SID_2015q1q3_CORE
CPT38,CPT/HCPCS procedure code 38,string,GA_SID_2015q1q3_CORE
CPT39,CPT/HCPCS procedure code 39,string,GA_SID_2015q1q3_CORE
CPT40,CPT/HCPCS procedure code 40,string,GA_SID_2015q1q3_CORE
CPT41,CPT/HCPCS procedure code 41,string,GA_SID_2015q1q3_CORE
CPT42,CPT/HCPCS procedure code 42,string,GA_SID_2015q1q3_CORE
CPT43,CPT/HCPCS procedure code 43,string,GA_SID_2015q1q3_CORE
CPT44,CPT/HCPCS procedure code 44,string,GA_SID_2015q1q3_CORE
CPT45,CPT/HCPCS procedure code 45,string,GA_SID_2015q1q3_CORE
CPT46,CPT/HCPCS procedure code 46,string,GA_SID_2015q1q3_CORE
CPT47,CPT/HCPCS procedure code 47,string,GA_SID_2015q1q3_CORE
CPT48,CPT/HCPCS procedure code 48,string,GA_SID_2015q1q3_CORE
CPT49,CPT/HCPCS procedure code 49,string,GA_SID_2015q1q3_CORE
CPT50,CPT/HCPCS procedure code 50,string,GA_SID_2015q1q3_CORE
CPTCCS1,CCS: CPT 1,int32,GA_SID_2015q1q3_CORE
CPTCCS2,CCS: CPT 2,int32,GA_SID_2015q1q3_CORE
CPTCCS3,CCS: CPT 3,int32,GA_SID_2015q1q3_CORE
CPTCCS4,CCS: CPT 4,int32,GA_SID_2015q1q3_CORE
CPTCCS5,CCS: CPT 5,int32,GA_SID_2015q1q3_CORE
CPTCCS6,CCS: CPT 6,int32,GA_SID_2015q1q3_CORE
CPTCCS7,CCS: CPT 7,int32,GA_SID_2015q1q3_CORE
CPTCCS8,CCS: CPT 8,int32,GA_SID_2015q1q3_CORE
CPTCCS9,CCS: CPT 9,int32,GA_SID_2015q1q3_CORE
CPTCCS10,CCS: CPT 10,int32,GA_SID_2015q1q3_CORE
CPTCCS11,CCS: CPT 11,int32,GA_SID_2015q1q3_CORE
CPTCCS12,CCS: CPT 12,int32,GA_SID_2015q1q3_CORE
CPTCCS13,CCS: CPT 13,int32,GA_SID_2015q1q3_CORE
CPTCCS14,CCS: CPT 14,int32,GA_SID_2015q1q3_CORE
CPTCCS15,CCS: CPT 15,int32,GA_SID_2015q1q3_CORE
CPTCCS16,CCS: CPT 16,int32,GA_SID_2015q1q3_CORE
CPTCCS17,CCS: CPT 17,int32,GA_SID_2015q1q3_CORE
CPTCCS18,CCS: CPT 18,int32,GA_SID_2015q1q3_CORE
CPTCCS19,CCS: CPT 19,int32,GA_SID_2015q1q3_CORE
CPTCCS20,CCS: CPT 20,int32,GA_SID_2015q1q3_CORE
CPTCCS21,CCS: CPT 21,int32,GA_SID_2015q1q3_CORE
CPTCCS22,CCS: CPT 22,int32,GA_SID_2015q1q3_CORE
CPTCCS23,CCS: CPT 23,int32,GA_SID_2015q1q3_CORE
CPTCCS24,CCS: CPT 24,int32,GA_SID_2015q1q3_CORE
CPTCCS25,CCS: CPT 25,int32,GA_SID_2015q1q3_CORE
CPTCCS26,CCS: CPT 26,int32,GA_SID_2015q1q3_CORE
CPTCCS27,CCS: CPT 27,int32,GA_SID_2015q1q3_CORE
CPTCCS28,CCS: CPT 28,int32,GA_SID_2015q1q3_CORE
CPTCCS29,CCS: CPT 29,int32,GA_SID_2015q1q3_CORE
CPTCCS30,CCS: CPT 30,int32,GA_SID_2015q1q3_CORE
CPTCCS31,CCS: CPT 31,int32,GA_SID_2015q1q3_CORE
CPTCCS32,CCS: CPT 32,int32,GA_SID_2015q1q3_CORE
CPTCCS33,CCS: CPT 33,int32,GA_SID_2015q1q3_CORE
CPTCCS34,CCS: CPT 34,int32,GA_SID_2015q1q3_CORE
CPTCCS35,CCS: CPT 35,int32,GA_SID_2015q1q3_CORE
CPTCCS36,CCS: CPT 36,int32,GA_SID_2015q1q3_CORE
CPTCCS37,CCS: CPT 37,int32,GA_SID_2015q1q3_CORE
CPTCCS38,CCS: CPT 38,int32,GA_SID_2015q1q3_CORE
CPTCCS39,CCS: CPT 39,int32,GA_SID_2015q1q3_CORE
CPTCCS40,CCS: CPT 40,int32,GA_SID_2015q1q3_CORE
CPTCCS41,CCS: CPT 41,int32,GA_SID_2015q1q3_CORE
CPTCCS42,CCS: CPT 42,int32,GA_SID_2015q1q3_CORE
CPTCCS43,CCS: CPT 43,int32,GA_SID_2015q1q3_CORE
CPTCCS44,CCS: CPT 44,int32,GA_SID_2015q1q3_CORE
CPTCCS45,CCS: CPT 45,int32,GA_SID_2015q1q3_CORE
CPTCCS46,CCS: CPT 46,int32,GA_SID_2015q1q3_CORE
CPTCCS47,CCS: CPT 47,int32,GA_SID_2015q1q3_CORE
CPTCCS48,CCS: CPT 48,int32,GA_SID_2015q1q3_CORE
CPTCCS49,CCS: CPT 49,int32,GA_SID_2015q1q3_CORE
CPTCCS50,CCS: CPT 50,int32,GA_SID_2015q1q3_CORE
DaysToEvent,Days from 'start date' to admission,int32,GA_SID_2015q1q3_CORE
DIED,Died during hospitalization,int32,GA_SID_2015q1q3_CORE
DISP_X,Disposition of patient (as received from source),string,GA_SID_2015q1q3_CORE
DISPUB04,Disposition of patient (UB-04 standard coding),int32,GA_SID_2015q1q3_CORE
DISPUNIFORM,Disposition of patient (uniform),int32,GA_SID_2015q1q3_CORE
DMONTH,Discharge month,int32,GA_SID_2015q1q3_CORE
DQTR,Discharge quarter,int32,GA_SID_2015q1q3_CORE
DRG,DRG in effect on discharge date,int32,GA_SID_2015q1q3_CORE
DRG_NoPOA,"DRG in use on discharge date, calculated without POA",int32,GA_SID_2015q1q3_CORE
DRG32,"DRG, version 32",int32,GA_SID_2015q1q3_CORE
DRGVER,DRG grouper version used on discharge date,int32,GA_SID_2015q1q3_CORE
DX1,Diagnosis 1,string,GA_SID_2015q1q3_CORE
DX2,Diagnosis 2,string,GA_SID_2015q1q3_CORE
DX3,Diagnosis 3,string,GA_SID_2015q1q3_CORE
DX4,Diagnosis 4,string,GA_SID_2015q1q3_CORE
DX5,Diagnosis 5,string,GA_SID_2015q1q3_CORE
DX6,Diagnosis 6,string,GA_SID_2015q1q3_CORE
DX7,Diagnosis 7,string,GA_SID_2015q1q3_CORE
DX8,Diagnosis 8,string,GA_SID_2015q1q3_CORE
DX9,Diagnosis 9,string,GA_SID_2015q1q3_CORE
DX10,Diagnosis 10,string,GA_SID_2015q1q3_CORE
DX11,Diagnosis 11,string,GA_SID_2015q1q3_CORE
DX12,Diagnosis 12,string,GA_SID_2015q1q3_CORE
DX13,Diagnosis 13,string,GA_SID_2015q1q3_CORE
DX14,Diagnosis 14,string,GA_SID_2015q1q3_CORE
DX15,Diagnosis 15,string,GA_SID_2015q1q3_CORE
DX16,Diagnosis 16,string,GA_SID_2015q1q3_CORE
DX17,Diagnosis 17,string,GA_SID_2015q1q3_CORE
DX18,Diagnosis 18,string,GA_SID_2015q1q3_CORE
DX19,Diagnosis 19,string,GA_SID_2015q1q3_CORE
DX20,Diagnosis 20,string,GA_SID_2015q1q3_CORE
DX21,Diagnosis 21,string,GA_SID_2015q1q3_CORE
DX22,Diagnosis 22,string,GA_SID_2015q1q3_CORE
DX23,Diagnosis 23,string,GA_SID_2015q1q3_CORE
DX24,Diagnosis 24,string,GA_SID_2015q1q3_CORE
DX25,Diagnosis 25,string,GA_SID_2015q1q3_CORE
