var,var_label,value_type,dataset_id
KEY,HCUP record identifier,double,GA_SID_2015q4_SEVERITY
I10_CM_AIDS,ICD-10-CM AHRQ comorbidity measure: Acquired immune deficiency syndrome,int32,GA_SID_2015q4_SEVERITY
I10_CM_ALCOHOL,ICD-10-CM AHRQ comorbidity measure: Alcohol abuse,int32,GA_SID_2015q4_SEVERITY
I10_CM_ANEMDEF,ICD-10-CM AHRQ comorbidity measure: Deficiency anemias,int32,GA_SID_2015q4_SEVERITY
I10_CM_ARTH,ICD-10-CM AHRQ comorbidity measure: Rheumatoid arthritis/collagen vascular disea,int32,GA_SID_2015q4_SEVERITY
I10_CM_BLDLOSS,ICD-10-CM AHRQ comorbidity measure: Chronic blood loss anemia,int32,GA_SID_2015q4_SEVERITY
I10_CM_CHF,ICD-10-CM AHRQ comorbidity measure: Congestive heart failure,int32,GA_SID_2015q4_SEVERITY
I10_CM_CHRNLUNG,ICD-10-CM AHRQ comorbidity measure: Chronic pulmonary disease,int32,GA_SID_2015q4_SEVERITY
I10_CM_COAG,ICD-10-CM AHRQ comorbidity measure: Coagulopathy,int32,GA_SID_2015q4_SEVERITY
I10_CM_DEPRESS,ICD-10-CM AHRQ comorbidity measure: Depression,int32,GA_SID_2015q4_SEVERITY
I10_CM_DM,"ICD-10-CM AHRQ comorbidity measure: Diabetes, uncomplicated",int32,GA_SID_2015q4_SEVERITY
I10_CM_DMCX,ICD-10-CM AHRQ comorbidity measure: Diabetes with chronic complications,int32,GA_SID_2015q4_SEVERITY
I10_CM_DRUG,ICD-10-CM AHRQ comorbidity measure: Drug abuse,int32,GA_SID_2015q4_SEVERITY
I10_CM_HTN_C,ICD-10-CM AHRQ comorbidity measure: Hypertension (combine uncomplicated and comp,int32,GA_SID_2015q4_SEVERITY
I10_CM_HYPOTHY,ICD-10-CM AHRQ comorbidity measure: Hypothyroidism,int32,GA_SID_2015q4_SEVERITY
I10_CM_LIVER,ICD-10-CM AHRQ comorbidity measure: Liver disease,int32,GA_SID_2015q4_SEVERITY
I10_CM_LYMPH,ICD-10-CM AHRQ comorbidity measure: Lymphoma,int32,GA_SID_2015q4_SEVERITY
I10_CM_LYTES,ICD-10-CM AHRQ comorbidity measure: Fluid and electrolyte disorders,int32,GA_SID_2015q4_SEVERITY
I10_CM_METS,ICD-10-CM AHRQ comorbidity measure: Metastatic cancer,int32,GA_SID_2015q4_SEVERITY
I10_CM_NEURO,ICD-10-CM AHRQ comorbidity measure: Other neurological disorders,int32,GA_SID_2015q4_SEVERITY
I10_CM_OBESE,ICD-10-CM AHRQ comorbidity measure: Obesity,int32,GA_SID_2015q4_SEVERITY
I10_CM_PARA,ICD-10-CM AHRQ comorbidity measure: Paralysis,int32,GA_SID_2015q4_SEVERITY
I10_CM_PERIVASC,ICD-10-CM AHRQ comorbidity measure: Peripheral vascular disorders,int32,GA_SID_2015q4_SEVERITY
I10_CM_PSYCH,ICD-10-CM AHRQ comorbidity measure: Psychoses,int32,GA_SID_2015q4_SEVERITY
I10_CM_PULMCIRC,ICD-10-CM AHRQ comorbidity measure: Pulmonary circulation disorders,int32,GA_SID_2015q4_SEVERITY
I10_CM_RENLFAIL,ICD-10-CM AHRQ comorbidity measure: Renal failure,int32,GA_SID_2015q4_SEVERITY
I10_CM_TUMOR,ICD-10-CM AHRQ comorbidity measure: Solid tumor without metastasis,int32,GA_SID_2015q4_SEVERITY
I10_CM_ULCER,ICD-10-CM AHRQ comorbidity measure: Peptic ulcer disease excluding bleeding,int32,GA_SID_2015q4_SEVERITY
I10_CM_VALVE,ICD-10-CM AHRQ comorbidity measure: Valvular disease,int32,GA_SID_2015q4_SEVERITY
I10_CM_WGHTLOSS,ICD-10-CM AHRQ comorbidity measure: Weight loss,int32,GA_SID_2015q4_SEVERITY
