var,var_label,value_type,dataset_id
AGE,Age in years at admission,int32,KY_SID_2014_CORE
AGEDAY,Age in days (when age < 1 year),int32,KY_SID_2014_CORE
AGEMONTH,Age in months (when age < 11 years),int32,KY_SID_2014_CORE
AMONTH,Admission month,int32,KY_SID_2014_CORE
ATYPE,Admission type,int32,KY_SID_2014_CORE
AWEEKEND,Admission day is a weekend,int32,KY_SID_2014_CORE
BILLTYPE,"Type of bill, UB-04 coding",string,KY_SID_2014_CORE
BWT,Birth weight in grams,int32,KY_SID_2014_CORE
DIED,Died during hospitalization,int32,KY_SID_2014_CORE
DISPUB04,Disposition of patient (UB-04 standard coding),int32,KY_SID_2014_CORE
DISPUNIFORM,Disposition of patient (uniform),int32,KY_SID_2014_CORE
DISP_X,Disposition of patient (as received from source),string,KY_SID_2014_CORE
DMONTH,Discharge month,int32,KY_SID_2014_CORE
DNR,Do not resuscitate indicator,int32,KY_SID_2014_CORE
DQTR,Discharge quarter,int32,KY_SID_2014_CORE
DRG,DRG in effect on discharge date,int32,KY_SID_2014_CORE
DRG24,"DRG, version 24",int32,KY_SID_2014_CORE
DRGVER,DRG grouper version used on discharge date,int32,KY_SID_2014_CORE
DRG_NoPOA,"DRG in use on discharge date, calculated without POA",int32,KY_SID_2014_CORE
DSHOSPID,Data source hospital identifier,string,KY_SID_2014_CORE
DX1,Diagnosis 1,string,KY_SID_2014_CORE
DX2,Diagnosis 2,string,KY_SID_2014_CORE
DX3,Diagnosis 3,string,KY_SID_2014_CORE
DX4,Diagnosis 4,string,KY_SID_2014_CORE
DX5,Diagnosis 5,string,KY_SID_2014_CORE
DX6,Diagnosis 6,string,KY_SID_2014_CORE
DX7,Diagnosis 7,string,KY_SID_2014_CORE
DX8,Diagnosis 8,string,KY_SID_2014_CORE
DX9,Diagnosis 9,string,KY_SID_2014_CORE
DX10,Diagnosis 10,string,KY_SID_2014_CORE
DX11,Diagnosis 11,string,KY_SID_2014_CORE
DX12,Diagnosis 12,string,KY_SID_2014_CORE
DX13,Diagnosis 13,string,KY_SID_2014_CORE
DX14,Diagnosis 14,string,KY_SID_2014_CORE
DX15,Diagnosis 15,string,KY_SID_2014_CORE
DX16,Diagnosis 16,string,KY_SID_2014_CORE
DX17,Diagnosis 17,string,KY_SID_2014_CORE
DX18,Diagnosis 18,string,KY_SID_2014_CORE
DX19,Diagnosis 19,string,KY_SID_2014_CORE
DX20,Diagnosis 20,string,KY_SID_2014_CORE
DX21,Diagnosis 21,string,KY_SID_2014_CORE
DX22,Diagnosis 22,string,KY_SID_2014_CORE
DX23,Diagnosis 23,string,KY_SID_2014_CORE
DX24,Diagnosis 24,string,KY_SID_2014_CORE
DX25,Diagnosis 25,string,KY_SID_2014_CORE
DXCCS1,CCS: diagnosis 1,int32,KY_SID_2014_CORE
DXCCS2,CCS: diagnosis 2,int32,KY_SID_2014_CORE
DXCCS3,CCS: diagnosis 3,int32,KY_SID_2014_CORE
DXCCS4,CCS: diagnosis 4,int32,KY_SID_2014_CORE
DXCCS5,CCS: diagnosis 5,int32,KY_SID_2014_CORE
DXCCS6,CCS: diagnosis 6,int32,KY_SID_2014_CORE
DXCCS7,CCS: diagnosis 7,int32,KY_SID_2014_CORE
DXCCS8,CCS: diagnosis 8,int32,KY_SID_2014_CORE
DXCCS9,CCS: diagnosis 9,int32,KY_SID_2014_CORE
DXCCS10,CCS: diagnosis 10,int32,KY_SID_2014_CORE
DXCCS11,CCS: diagnosis 11,int32,KY_SID_2014_CORE
DXCCS12,CCS: diagnosis 12,int32,KY_SID_2014_CORE
DXCCS13,CCS: diagnosis 13,int32,KY_SID_2014_CORE
DXCCS14,CCS: diagnosis 14,int32,KY_SID_2014_CORE
DXCCS15,CCS: diagnosis 15,int32,KY_SID_2014_CORE
DXCCS16,CCS: diagnosis 16,int32,KY_SID_2014_CORE
DXCCS17,CCS: diagnosis 17,int32,KY_SID_2014_CORE
DXCCS18,CCS: diagnosis 18,int32,KY_SID_2014_CORE
DXCCS19,CCS: diagnosis 19,int32,KY_SID_2014_CORE
DXCCS20,CCS: diagnosis 20,int32,KY_SID_2014_CORE
DXCCS21,CCS: diagnosis 21,int32,KY_SID_2014_CORE
DXCCS22,CCS: diagnosis 22,int32,KY_SID_2014_CORE
DXCCS23,CCS: diagnosis 23,int32,KY_SID_2014_CORE
DXCCS24,CCS: diagnosis 24,int32,KY_SID_2014_CORE
DXCCS25,CCS: diagnosis 25,int32,KY_SID_2014_CORE
DXPOA1,"Diagnosis 1, present on admission indicator",string,KY_SID_2014_CORE
DXPOA2,"Diagnosis 2, present on admission indicator",string,KY_SID_2014_CORE
DXPOA3,"Diagnosis 3, present on admission indicator",string,KY_SID_2014_CORE
DXPOA4,"Diagnosis 4, present on admission indicator",string,KY_SID_2014_CORE
DXPOA5,"Diagnosis 5, present on admission indicator",string,KY_SID_2014_CORE
DXPOA6,"Diagnosis 6, present on admission indicator",string,KY_SID_2014_CORE
DXPOA7,"Diagnosis 7, present on admission indicator",string,KY_SID_2014_CORE
