var,var_label,value_type,dataset_id
AGE,Age in years at admission,int32,KY_SID_2015q1q3_CORE
AGEDAY,Age in days (when age < 1 year),int32,KY_SID_2015q1q3_CORE
AGEMONTH,Age in months (when age < 11 years),int32,KY_SID_2015q1q3_CORE
AMONTH,Admission month,int32,KY_SID_2015q1q3_CORE
ATYPE,Admission type,int32,KY_SID_2015q1q3_CORE
AWEEKEND,Admission day is a weekend,int32,KY_SID_2015q1q3_CORE
BILLTYPE,"Type of bill, UB-04 coding",string,KY_SID_2015q1q3_CORE
BWT,Birth weight in grams,int32,KY_SID_2015q1q3_CORE
DIED,Died during hospitalization,int32,KY_SID_2015q1q3_CORE
DISP_X,Disposition of patient (as received from source),string,KY_SID_2015q1q3_CORE
DISPUB04,Disposition of patient (UB-04 standard coding),int32,KY_SID_2015q1q3_CORE
DISPUNIFORM,Disposition of patient (uniform),int32,KY_SID_2015q1q3_CORE
DMONTH,Discharge month,int32,KY_SID_2015q1q3_CORE
DNR,Do not resuscitate indicator,int32,KY_SID_2015q1q3_CORE
DQTR,Discharge quarter,int32,KY_SID_2015q1q3_CORE
DRG,DRG in effect on discharge date,int32,KY_SID_2015q1q3_CORE
DRG_NoPOA,"DRG in use on discharge date, calculated without POA",int32,KY_SID_2015q1q3_CORE
DRG32,"DRG, version 32",int32,KY_SID_2015q1q3_CORE
DRGVER,DRG grouper version used on discharge date,int32,KY_SID_2015q1q3_CORE
DSHOSPID,Data source hospital identifier,string,KY_SID_2015q1q3_CORE
DX_Admitting,Admitting Diagnosis Code,string,KY_SID_2015q1q3_CORE
DX1,Diagnosis 1,string,KY_SID_2015q1q3_CORE
DX2,Diagnosis 2,string,KY_SID_2015q1q3_CORE
DX3,Diagnosis 3,string,KY_SID_2015q1q3_CORE
DX4,Diagnosis 4,string,KY_SID_2015q1q3_CORE
DX5,Diagnosis 5,string,KY_SID_2015q1q3_CORE
DX6,Diagnosis 6,string,KY_SID_2015q1q3_CORE
DX7,Diagnosis 7,string,KY_SID_2015q1q3_CORE
DX8,Diagnosis 8,string,KY_SID_2015q1q3_CORE
DX9,Diagnosis 9,string,KY_SID_2015q1q3_CORE
DX10,Diagnosis 10,string,KY_SID_2015q1q3_CORE
DX11,Diagnosis 11,string,KY_SID_2015q1q3_CORE
DX12,Diagnosis 12,string,KY_SID_2015q1q3_CORE
DX13,Diagnosis 13,string,KY_SID_2015q1q3_CORE
DX14,Diagnosis 14,string,KY_SID_2015q1q3_CORE
DX15,Diagnosis 15,string,KY_SID_2015q1q3_CORE
DX16,Diagnosis 16,string,KY_SID_2015q1q3_CORE
DX17,Diagnosis 17,string,KY_SID_2015q1q3_CORE
DX18,Diagnosis 18,string,KY_SID_2015q1q3_CORE
DX19,Diagnosis 19,string,KY_SID_2015q1q3_CORE
DX20,Diagnosis 20,string,KY_SID_2015q1q3_CORE
