var,value_type,dataset_id
CHRON1,double,MA_SID_2013_DX_PR_GRPS
CHRON2,double,MA_SID_2013_DX_PR_GRPS
CHRON3,double,MA_SID_2013_DX_PR_GRPS
CHRON4,double,MA_SID_2013_DX_PR_GRPS
CHRON5,double,MA_SID_2013_DX_PR_GRPS
CHRON6,double,MA_SID_2013_DX_PR_GRPS
CHRON7,double,MA_SID_2013_DX_PR_GRPS
CHRON8,double,MA_SID_2013_DX_PR_GRPS
CHRON9,double,MA_SID_2013_DX_PR_GRPS
CHRON10,double,MA_SID_2013_DX_PR_GRPS
CHRON11,double,MA_SID_2013_DX_PR_GRPS
CHRON12,double,MA_SID_2013_DX_PR_GRPS
CHRON13,double,MA_SID_2013_DX_PR_GRPS
CHRON14,double,MA_SID_2013_DX_PR_GRPS
CHRON15,double,MA_SID_2013_DX_PR_GRPS
CHRONB1,double,MA_SID_2013_DX_PR_GRPS
CHRONB2,double,MA_SID_2013_DX_PR_GRPS
CHRONB3,double,MA_SID_2013_DX_PR_GRPS
CHRONB4,double,MA_SID_2013_DX_PR_GRPS
CHRONB5,double,MA_SID_2013_DX_PR_GRPS
CHRONB6,double,MA_SID_2013_DX_PR_GRPS
CHRONB7,double,MA_SID_2013_DX_PR_GRPS
CHRONB8,double,MA_SID_2013_DX_PR_GRPS
CHRONB9,double,MA_SID_2013_DX_PR_GRPS
CHRONB10,double,MA_SID_2013_DX_PR_GRPS
CHRONB11,double,MA_SID_2013_DX_PR_GRPS
CHRONB12,double,MA_SID_2013_DX_PR_GRPS
CHRONB13,double,MA_SID_2013_DX_PR_GRPS
CHRONB14,double,MA_SID_2013_DX_PR_GRPS
CHRONB15,double,MA_SID_2013_DX_PR_GRPS
DXMCCS1,string,MA_SID_2013_DX_PR_GRPS
DXMCCS2,string,MA_SID_2013_DX_PR_GRPS
DXMCCS3,string,MA_SID_2013_DX_PR_GRPS
DXMCCS4,string,MA_SID_2013_DX_PR_GRPS
DXMCCS5,string,MA_SID_2013_DX_PR_GRPS
DXMCCS6,string,MA_SID_2013_DX_PR_GRPS
DXMCCS7,string,MA_SID_2013_DX_PR_GRPS
DXMCCS8,string,MA_SID_2013_DX_PR_GRPS
DXMCCS9,string,MA_SID_2013_DX_PR_GRPS
DXMCCS10,string,MA_SID_2013_DX_PR_GRPS
DXMCCS11,string,MA_SID_2013_DX_PR_GRPS
DXMCCS12,string,MA_SID_2013_DX_PR_GRPS
DXMCCS13,string,MA_SID_2013_DX_PR_GRPS
DXMCCS14,string,MA_SID_2013_DX_PR_GRPS
DXMCCS15,string,MA_SID_2013_DX_PR_GRPS
E_MCCS1,string,MA_SID_2013_DX_PR_GRPS
E_MCCS2,string,MA_SID_2013_DX_PR_GRPS
E_MCCS3,string,MA_SID_2013_DX_PR_GRPS
E_MCCS4,string,MA_SID_2013_DX_PR_GRPS
E_MCCS5,string,MA_SID_2013_DX_PR_GRPS
E_MCCS6,string,MA_SID_2013_DX_PR_GRPS
E_MCCS7,string,MA_SID_2013_DX_PR_GRPS
E_MCCS8,string,MA_SID_2013_DX_PR_GRPS
INJURY,double,MA_SID_2013_DX_PR_GRPS
INJURY_CUT,double,MA_SID_2013_DX_PR_GRPS
INJURY_DROWN,double,MA_SID_2013_DX_PR_GRPS
INJURY_FALL,double,MA_SID_2013_DX_PR_GRPS
INJURY_FIRE,double,MA_SID_2013_DX_PR_GRPS
INJURY_FIREARM,double,MA_SID_2013_DX_PR_GRPS
INJURY_MACHINERY,double,MA_SID_2013_DX_PR_GRPS
INJURY_MVT,double,MA_SID_2013_DX_PR_GRPS
INJURY_NATURE,double,MA_SID_2013_DX_PR_GRPS
INJURY_POISON,double,MA_SID_2013_DX_PR_GRPS
INJURY_STRUCK,double,MA_SID_2013_DX_PR_GRPS
INJURY_SUFFOCATION,double,MA_SID_2013_DX_PR_GRPS
INTENT_ASSAULT,double,MA_SID_2013_DX_PR_GRPS
INTENT_SELF_HARM,double,MA_SID_2013_DX_PR_GRPS
