var,value_type,dataset_id
KEY,double,MA_SID_2013_SEVERITY
CM_ANEMDEF,double,MA_SID_2013_SEVERITY
CM_ARTH,double,MA_SID_2013_SEVERITY
CM_BLDLOSS,double,MA_SID_2013_SEVERITY
CM_CHF,double,MA_SID_2013_SEVERITY
CM_CHRNLUNG,double,MA_SID_2013_SEVERITY
CM_COAG,double,MA_SID_2013_SEVERITY
CM_DM,double,MA_SID_2013_SEVERITY
CM_DMCX,double,MA_SID_2013_SEVERITY
CM_HTN_C,double,MA_SID_2013_SEVERITY
CM_HYPOTHY,double,MA_SID_2013_SEVERITY
CM_LYMPH,double,MA_SID_2013_SEVERITY
CM_LYTES,double,MA_SID_2013_SEVERITY
CM_METS,double,MA_SID_2013_SEVERITY
CM_NEURO,double,MA_SID_2013_SEVERITY
CM_PARA,double,MA_SID_2013_SEVERITY
CM_PERIVASC,double,MA_SID_2013_SEVERITY
CM_PULMCIRC,double,MA_SID_2013_SEVERITY
CM_RENLFAIL,double,MA_SID_2013_SEVERITY
CM_TUMOR,double,MA_SID_2013_SEVERITY
CM_ULCER,double,MA_SID_2013_SEVERITY
CM_VALVE,double,MA_SID_2013_SEVERITY
CM_WGHTLOSS,double,MA_SID_2013_SEVERITY
