var,var_label,value_type,dataset_id
AGE,Age in years at admission,int32,NJ_SID_2017_CORE
AGEDAY,Age in days (when age < 1 year),int32,NJ_SID_2017_CORE
AGEMONTH,Age in months (when age < 11 years),int32,NJ_SID_2017_CORE
AHOUR,Admission Hour,int32,NJ_SID_2017_CORE
AMONTH,Admission month,int32,NJ_SID_2017_CORE
ATYPE,Admission type,int32,NJ_SID_2017_CORE
AWEEKEND,Admission day is a weekend,int32,NJ_SID_2017_CORE
BILLTYPE,"Type of bill, UB-04 coding",string,NJ_SID_2017_CORE
BWT,Birth weight in grams,int32,NJ_SID_2017_CORE
CPT1,CPT/HCPCS procedure code 1,string,NJ_SID_2017_CORE
CPT2,CPT/HCPCS procedure code 2,string,NJ_SID_2017_CORE
CPT3,CPT/HCPCS procedure code 3,string,NJ_SID_2017_CORE
CPT4,CPT/HCPCS procedure code 4,string,NJ_SID_2017_CORE
CPT5,CPT/HCPCS procedure code 5,string,NJ_SID_2017_CORE
CPT6,CPT/HCPCS procedure code 6,string,NJ_SID_2017_CORE
CPT7,CPT/HCPCS procedure code 7,string,NJ_SID_2017_CORE
CPT8,CPT/HCPCS procedure code 8,string,NJ_SID_2017_CORE
CPT9,CPT/HCPCS procedure code 9,string,NJ_SID_2017_CORE
CPT10,CPT/HCPCS procedure code 10,string,NJ_SID_2017_CORE
CPT11,CPT/HCPCS procedure code 11,string,NJ_SID_2017_CORE
CPT12,CPT/HCPCS procedure code 12,string,NJ_SID_2017_CORE
CPT13,CPT/HCPCS procedure code 13,string,NJ_SID_2017_CORE
CPT14,CPT/HCPCS procedure code 14,string,NJ_SID_2017_CORE
CPT15,CPT/HCPCS procedure code 15,string,NJ_SID_2017_CORE
CPT16,CPT/HCPCS procedure code 16,string,NJ_SID_2017_CORE
CPT17,CPT/HCPCS procedure code 17,string,NJ_SID_2017_CORE
CPT18,CPT/HCPCS procedure code 18,string,NJ_SID_2017_CORE
CPT19,CPT/HCPCS procedure code 19,string,NJ_SID_2017_CORE
CPT20,CPT/HCPCS procedure code 20,string,NJ_SID_2017_CORE
CPT21,CPT/HCPCS procedure code 21,string,NJ_SID_2017_CORE
CPT22,CPT/HCPCS procedure code 22,string,NJ_SID_2017_CORE
CPT23,CPT/HCPCS procedure code 23,string,NJ_SID_2017_CORE
CPT24,CPT/HCPCS procedure code 24,string,NJ_SID_2017_CORE
CPT25,CPT/HCPCS procedure code 25,string,NJ_SID_2017_CORE
CPT26,CPT/HCPCS procedure code 26,string,NJ_SID_2017_CORE
CPT27,CPT/HCPCS procedure code 27,string,NJ_SID_2017_CORE
CPT28,CPT/HCPCS procedure code 28,string,NJ_SID_2017_CORE
CPT29,CPT/HCPCS procedure code 29,string,NJ_SID_2017_CORE
CPT30,CPT/HCPCS procedure code 30,string,NJ_SID_2017_CORE
CPT31,CPT/HCPCS procedure code 31,string,NJ_SID_2017_CORE
CPT32,CPT/HCPCS procedure code 32,string,NJ_SID_2017_CORE
CPT33,CPT/HCPCS procedure code 33,string,NJ_SID_2017_CORE
CPT34,CPT/HCPCS procedure code 34,string,NJ_SID_2017_CORE
CPT35,CPT/HCPCS procedure code 35,string,NJ_SID_2017_CORE
CPT36,CPT/HCPCS procedure code 36,string,NJ_SID_2017_CORE
CPT37,CPT/HCPCS procedure code 37,string,NJ_SID_2017_CORE
CPT38,CPT/HCPCS procedure code 38,string,NJ_SID_2017_CORE
CPT39,CPT/HCPCS procedure code 39,string,NJ_SID_2017_CORE
CPT40,CPT/HCPCS procedure code 40,string,NJ_SID_2017_CORE
CPT41,CPT/HCPCS procedure code 41,string,NJ_SID_2017_CORE
CPT42,CPT/HCPCS procedure code 42,string,NJ_SID_2017_CORE
CPT43,CPT/HCPCS procedure code 43,string,NJ_SID_2017_CORE
CPT44,CPT/HCPCS procedure code 44,string,NJ_SID_2017_CORE
CPT45,CPT/HCPCS procedure code 45,string,NJ_SID_2017_CORE
CPT46,CPT/HCPCS procedure code 46,string,NJ_SID_2017_CORE
CPT47,CPT/HCPCS procedure code 47,string,NJ_SID_2017_CORE
CPT48,CPT/HCPCS procedure code 48,string,NJ_SID_2017_CORE
CPT49,CPT/HCPCS procedure code 49,string,NJ_SID_2017_CORE
CPT50,CPT/HCPCS procedure code 50,string,NJ_SID_2017_CORE
CPTCCS1,CCS: CPT 1,int32,NJ_SID_2017_CORE
CPTCCS2,CCS: CPT 2,int32,NJ_SID_2017_CORE
CPTCCS3,CCS: CPT 3,int32,NJ_SID_2017_CORE
CPTCCS4,CCS: CPT 4,int32,NJ_SID_2017_CORE
CPTCCS5,CCS: CPT 5,int32,NJ_SID_2017_CORE
