var,var_label,value_type,dataset_id
CHARGE,Line item charges (as received from source),double,NY_SEDD_2017_CHGS
CPTHCPCS,Line item CPT-4/HCPCS procedure code (as received from source),string,NY_SEDD_2017_CHGS
CPTMod1,Line item CPT-4/HCPCS first modifier (as received from source),string,NY_SEDD_2017_CHGS
CPTMod2,Line item CPT-4/HCPCS second modifier (as received from source),string,NY_SEDD_2017_CHGS
KEY,HCUP record identifier,double,NY_SEDD_2017_CHGS
REVCODE,Line item revenue code (as received from source),string,NY_SEDD_2017_CHGS
SERVDAY,Line item days from admission date,int32,NY_SEDD_2017_CHGS
UNITS,Line item units (as received from source),double,NY_SEDD_2017_CHGS
AGE,Age in years at admission,int32,NY_SEDD_2017_CORE
AGEDAY,Age in days (when age < 1 year),int32,NY_SEDD_2017_CORE
AGEMONTH,Age in months (when age < 11 years),int32,NY_SEDD_2017_CORE
AHOUR,Admission Hour,int32,NY_SEDD_2017_CORE
AMONTH,Admission month,int32,NY_SEDD_2017_CORE
ANESTH,Method of anesthesia,int32,NY_SEDD_2017_CORE
AWEEKEND,Admission day is a weekend,int32,NY_SEDD_2017_CORE
CPT1,CPT/HCPCS procedure code 1,string,NY_SEDD_2017_CORE
CPT2,CPT/HCPCS procedure code 2,string,NY_SEDD_2017_CORE
CPT3,CPT/HCPCS procedure code 3,string,NY_SEDD_2017_CORE
CPT4,CPT/HCPCS procedure code 4,string,NY_SEDD_2017_CORE
CPT5,CPT/HCPCS procedure code 5,string,NY_SEDD_2017_CORE
CPT6,CPT/HCPCS procedure code 6,string,NY_SEDD_2017_CORE
CPT7,CPT/HCPCS procedure code 7,string,NY_SEDD_2017_CORE
CPT8,CPT/HCPCS procedure code 8,string,NY_SEDD_2017_CORE
CPT9,CPT/HCPCS procedure code 9,string,NY_SEDD_2017_CORE
CPT10,CPT/HCPCS procedure code 10,string,NY_SEDD_2017_CORE
CPT11,CPT/HCPCS procedure code 11,string,NY_SEDD_2017_CORE
CPT12,CPT/HCPCS procedure code 12,string,NY_SEDD_2017_CORE
CPT13,CPT/HCPCS procedure code 13,string,NY_SEDD_2017_CORE
CPT14,CPT/HCPCS procedure code 14,string,NY_SEDD_2017_CORE
