var,var_label,value_type,dataset_id
AGE,Age in years at admission,int32,AZ_SID_2015q1q3_CORE
AGEDAY,Age in days (when age < 1 year),int32,AZ_SID_2015q1q3_CORE
AGEMONTH,Age in months (when age < 11 years),int32,AZ_SID_2015q1q3_CORE
AHOUR,Admission Hour,int32,AZ_SID_2015q1q3_CORE
AMONTH,Admission month,int32,AZ_SID_2015q1q3_CORE
ATYPE,Admission type,int32,AZ_SID_2015q1q3_CORE
AWEEKEND,Admission day is a weekend,int32,AZ_SID_2015q1q3_CORE
BWT,Birth weight in grams,int32,AZ_SID_2015q1q3_CORE
DHOUR,Discharge Hour,int32,AZ_SID_2015q1q3_CORE
DIED,Died during hospitalization,int32,AZ_SID_2015q1q3_CORE
DISP_X,Disposition of patient (as received from source),string,AZ_SID_2015q1q3_CORE
DISPUB04,Disposition of patient (UB-04 standard coding),int32,AZ_SID_2015q1q3_CORE
DISPUNIFORM,Disposition of patient (uniform),int32,AZ_SID_2015q1q3_CORE
DMONTH,Discharge month,int32,AZ_SID_2015q1q3_CORE
DNR,Do not resuscitate indicator,int32,AZ_SID_2015q1q3_CORE
DQTR,Discharge quarter,int32,AZ_SID_2015q1q3_CORE
DRG,DRG in effect on discharge date,int32,AZ_SID_2015q1q3_CORE
DRG_NoPOA,"DRG in use on discharge date, calculated without POA",int32,AZ_SID_2015q1q3_CORE
DRG32,"DRG, version 32",int32,AZ_SID_2015q1q3_CORE
DRGVER,DRG grouper version used on discharge date,int32,AZ_SID_2015q1q3_CORE
DSHOSPID,Data source hospital identifier,string,AZ_SID_2015q1q3_CORE
DX_Admitting,Admitting Diagnosis Code,string,AZ_SID_2015q1q3_CORE
DX1,Diagnosis 1,string,AZ_SID_2015q1q3_CORE
DX2,Diagnosis 2,string,AZ_SID_2015q1q3_CORE
DX3,Diagnosis 3,string,AZ_SID_2015q1q3_CORE
DX4,Diagnosis 4,string,AZ_SID_2015q1q3_CORE
DX5,Diagnosis 5,string,AZ_SID_2015q1q3_CORE
DX6,Diagnosis 6,string,AZ_SID_2015q1q3_CORE
DX7,Diagnosis 7,string,AZ_SID_2015q1q3_CORE
DX8,Diagnosis 8,string,AZ_SID_2015q1q3_CORE
DX9,Diagnosis 9,string,AZ_SID_2015q1q3_CORE
DX10,Diagnosis 10,string,AZ_SID_2015q1q3_CORE
DX11,Diagnosis 11,string,AZ_SID_2015q1q3_CORE
DX12,Diagnosis 12,string,AZ_SID_2015q1q3_CORE
DX13,Diagnosis 13,string,AZ_SID_2015q1q3_CORE
DX14,Diagnosis 14,string,AZ_SID_2015q1q3_CORE
DX15,Diagnosis 15,string,AZ_SID_2015q1q3_CORE
DX16,Diagnosis 16,string,AZ_SID_2015q1q3_CORE
DX17,Diagnosis 17,string,AZ_SID_2015q1q3_CORE
DX18,Diagnosis 18,string,AZ_SID_2015q1q3_CORE
DX19,Diagnosis 19,string,AZ_SID_2015q1q3_CORE
DX20,Diagnosis 20,string,AZ_SID_2015q1q3_CORE
DX21,Diagnosis 21,string,AZ_SID_2015q1q3_CORE
DX22,Diagnosis 22,string,AZ_SID_2015q1q3_CORE
DX23,Diagnosis 23,string,AZ_SID_2015q1q3_CORE
DX24,Diagnosis 24,string,AZ_SID_2015q1q3_CORE
DX25,Diagnosis 25,string,AZ_SID_2015q1q3_CORE
DXCCS1,CCS: diagnosis 1,int32,AZ_SID_2015q1q3_CORE
DXCCS2,CCS: diagnosis 2,int32,AZ_SID_2015q1q3_CORE
DXCCS3,CCS: diagnosis 3,int32,AZ_SID_2015q1q3_CORE
DXCCS4,CCS: diagnosis 4,int32,AZ_SID_2015q1q3_CORE
DXCCS5,CCS: diagnosis 5,int32,AZ_SID_2015q1q3_CORE
DXCCS6,CCS: diagnosis 6,int32,AZ_SID_2015q1q3_CORE
DXCCS7,CCS: diagnosis 7,int32,AZ_SID_2015q1q3_CORE
DXCCS8,CCS: diagnosis 8,int32,AZ_SID_2015q1q3_CORE
DXCCS9,CCS: diagnosis 9,int32,AZ_SID_2015q1q3_CORE
DXCCS10,CCS: diagnosis 10,int32,AZ_SID_2015q1q3_CORE
DXCCS11,CCS: diagnosis 11,int32,AZ_SID_2015q1q3_CORE
DXCCS12,CCS: diagnosis 12,int32,AZ_SID_2015q1q3_CORE
DXCCS13,CCS: diagnosis 13,int32,AZ_SID_2015q1q3_CORE
DXCCS14,CCS: diagnosis 14,int32,AZ_SID_2015q1q3_CORE
