var,var_label,value_type,dataset_id
CHG1,Detailed charges 1 (as received from source),double,AZ_SID_2018_CHGS
CHG2,Detailed charges 2 (as received from source),double,AZ_SID_2018_CHGS
CHG3,Detailed charges 3 (as received from source),double,AZ_SID_2018_CHGS
CHG4,Detailed charges 4 (as received from source),double,AZ_SID_2018_CHGS
CHG5,Detailed charges 5 (as received from source),double,AZ_SID_2018_CHGS
CHG6,Detailed charges 6 (as received from source),double,AZ_SID_2018_CHGS
CHG7,Detailed charges 7 (as received from source),double,AZ_SID_2018_CHGS
CHG8,Detailed charges 8 (as received from source),double,AZ_SID_2018_CHGS
CHG9,Detailed charges 9 (as received from source),double,AZ_SID_2018_CHGS
CHG10,Detailed charges 10 (as received from source),double,AZ_SID_2018_CHGS
CHG11,Detailed charges 11 (as received from source),double,AZ_SID_2018_CHGS
CHG12,Detailed charges 12 (as received from source),double,AZ_SID_2018_CHGS
CHG13,Detailed charges 13 (as received from source),double,AZ_SID_2018_CHGS
CHG14,Detailed charges 14 (as received from source),double,AZ_SID_2018_CHGS
CHG15,Detailed charges 15 (as received from source),double,AZ_SID_2018_CHGS
CHG16,Detailed charges 16 (as received from source),double,AZ_SID_2018_CHGS
CHG17,Detailed charges 17 (as received from source),double,AZ_SID_2018_CHGS
CHG18,Detailed charges 18 (as received from source),double,AZ_SID_2018_CHGS
CHG19,Detailed charges 19 (as received from source),double,AZ_SID_2018_CHGS
CHG20,Detailed charges 20 (as received from source),double,AZ_SID_2018_CHGS
CHG21,Detailed charges 21 (as received from source),double,AZ_SID_2018_CHGS
CHG22,Detailed charges 22 (as received from source),double,AZ_SID_2018_CHGS
CHG23,Detailed charges 23 (as received from source),double,AZ_SID_2018_CHGS
CHG24,Detailed charges 24 (as received from source),double,AZ_SID_2018_CHGS
CHG25,Detailed charges 25 (as received from source),double,AZ_SID_2018_CHGS
CHG26,Detailed charges 26 (as received from source),double,AZ_SID_2018_CHGS
CHG27,Detailed charges 27 (as received from source),double,AZ_SID_2018_CHGS
CHG28,Detailed charges 28 (as received from source),double,AZ_SID_2018_CHGS
CHG29,Detailed charges 29 (as received from source),double,AZ_SID_2018_CHGS
CHG30,Detailed charges 30 (as received from source),double,AZ_SID_2018_CHGS
CHG31,Detailed charges 31 (as received from source),double,AZ_SID_2018_CHGS
CHG32,Detailed charges 32 (as received from source),double,AZ_SID_2018_CHGS
CHG33,Detailed charges 33 (as received from source),double,AZ_SID_2018_CHGS
CHG34,Detailed charges 34 (as received from source),double,AZ_SID_2018_CHGS
CHG35,Detailed charges 35 (as received from source),double,AZ_SID_2018_CHGS
CHG36,Detailed charges 36 (as received from source),double,AZ_SID_2018_CHGS
CHG37,Detailed charges 37 (as received from source),double,AZ_SID_2018_CHGS
CHG38,Detailed charges 38 (as received from source),double,AZ_SID_2018_CHGS
CHG39,Detailed charges 39 (as received from source),double,AZ_SID_2018_CHGS
CHG40,Detailed charges 40 (as received from source),double,AZ_SID_2018_CHGS
CHG41,Detailed charges 41 (as received from source),double,AZ_SID_2018_CHGS
CHG42,Detailed charges 42 (as received from source),double,AZ_SID_2018_CHGS
CHG43,Detailed charges 43 (as received from source),double,AZ_SID_2018_CHGS
CHG44,Detailed charges 44 (as received from source),double,AZ_SID_2018_CHGS
CHG45,Detailed charges 45 (as received from source),double,AZ_SID_2018_CHGS
CHG46,Detailed charges 46 (as received from source),double,AZ_SID_2018_CHGS
CHG47,Detailed charges 47 (as received from source),double,AZ_SID_2018_CHGS
CHG48,Detailed charges 48 (as received from source),double,AZ_SID_2018_CHGS
CHG49,Detailed charges 49 (as received from source),double,AZ_SID_2018_CHGS
CHG50,Detailed charges 50 (as received from source),double,AZ_SID_2018_CHGS
CHG51,Detailed charges 51 (as received from source),double,AZ_SID_2018_CHGS
CHG52,Detailed charges 52 (as received from source),double,AZ_SID_2018_CHGS
CHG53,Detailed charges 53 (as received from source),double,AZ_SID_2018_CHGS
CHG54,Detailed charges 54 (as received from source),double,AZ_SID_2018_CHGS
CHG55,Detailed charges 55 (as received from source),double,AZ_SID_2018_CHGS
CHG56,Detailed charges 56 (as received from source),double,AZ_SID_2018_CHGS
CHG57,Detailed charges 57 (as received from source),double,AZ_SID_2018_CHGS
CHG58,Detailed charges 58 (as received from source),double,AZ_SID_2018_CHGS
CHG59,Detailed charges 59 (as received from source),double,AZ_SID_2018_CHGS
CHG60,Detailed charges 60 (as received from source),double,AZ_SID_2018_CHGS
CHG61,Detailed charges 61 (as received from source),double,AZ_SID_2018_CHGS
CHG62,Detailed charges 62 (as received from source),double,AZ_SID_2018_CHGS
CHG63,Detailed charges 63 (as received from source),double,AZ_SID_2018_CHGS
CHG64,Detailed charges 64 (as received from source),double,AZ_SID_2018_CHGS
CHG65,Detailed charges 65 (as received from source),double,AZ_SID_2018_CHGS
CHG66,Detailed charges 66 (as received from source),double,AZ_SID_2018_CHGS
CHG67,Detailed charges 67 (as received from source),double,AZ_SID_2018_CHGS
CHG68,Detailed charges 68 (as received from source),double,AZ_SID_2018_CHGS
CHG69,Detailed charges 69 (as received from source),double,AZ_SID_2018_CHGS
CHG70,Detailed charges 70 (as received from source),double,AZ_SID_2018_CHGS
CHG71,Detailed charges 71 (as received from source),double,AZ_SID_2018_CHGS
CHG72,Detailed charges 72 (as received from source),double,AZ_SID_2018_CHGS
CHG73,Detailed charges 73 (as received from source),double,AZ_SID_2018_CHGS
CHG74,Detailed charges 74 (as received from source),double,AZ_SID_2018_CHGS
KEY,HCUP record identifier,double,AZ_SID_2018_CHGS
