var,var_label,value_type,dataset_id
AGE,Age in years at admission,int32,GA_SID_2018_CORE
AGEDAY,Age in days (when age < 1 year),int32,GA_SID_2018_CORE
AGEMONTH,Age in months (when age < 11 years),int32,GA_SID_2018_CORE
AMONTH,Admission month,int32,GA_SID_2018_CORE
ATYPE,Admission type,int32,GA_SID_2018_CORE
AWEEKEND,Admission day is a weekend,int32,GA_SID_2018_CORE
BILLTYPE,"Type of bill, UB-04 coding",string,GA_SID_2018_CORE
BWT,Birth weight in grams,int32,GA_SID_2018_CORE
CPT1,CPT/HCPCS procedure code 1,string,GA_SID_2018_CORE
CPT2,CPT/HCPCS procedure code 2,string,GA_SID_2018_CORE
CPT3,CPT/HCPCS procedure code 3,string,GA_SID_2018_CORE
CPT4,CPT/HCPCS procedure code 4,string,GA_SID_2018_CORE
CPT5,CPT/HCPCS procedure code 5,string,GA_SID_2018_CORE
CPT6,CPT/HCPCS procedure code 6,string,GA_SID_2018_CORE
CPT7,CPT/HCPCS procedure code 7,string,GA_SID_2018_CORE
CPT8,CPT/HCPCS procedure code 8,string,GA_SID_2018_CORE
CPT9,CPT/HCPCS procedure code 9,string,GA_SID_2018_CORE
CPT10,CPT/HCPCS procedure code 10,string,GA_SID_2018_CORE
CPT11,CPT/HCPCS procedure code 11,string,GA_SID_2018_CORE
CPT12,CPT/HCPCS procedure code 12,string,GA_SID_2018_CORE
CPT13,CPT/HCPCS procedure code 13,string,GA_SID_2018_CORE
CPT14,CPT/HCPCS procedure code 14,string,GA_SID_2018_CORE
CPT15,CPT/HCPCS procedure code 15,string,GA_SID_2018_CORE
CPT16,CPT/HCPCS procedure code 16,string,GA_SID_2018_CORE
CPT17,CPT/HCPCS procedure code 17,string,GA_SID_2018_CORE
CPT18,CPT/HCPCS procedure code 18,string,GA_SID_2018_CORE
CPT19,CPT/HCPCS procedure code 19,string,GA_SID_2018_CORE
CPT20,CPT/HCPCS procedure code 20,string,GA_SID_2018_CORE
CPT21,CPT/HCPCS procedure code 21,string,GA_SID_2018_CORE
CPT22,CPT/HCPCS procedure code 22,string,GA_SID_2018_CORE
CPT23,CPT/HCPCS procedure code 23,string,GA_SID_2018_CORE
CPT24,CPT/HCPCS procedure code 24,string,GA_SID_2018_CORE
CPT25,CPT/HCPCS procedure code 25,string,GA_SID_2018_CORE
CPT26,CPT/HCPCS procedure code 26,string,GA_SID_2018_CORE
CPT27,CPT/HCPCS procedure code 27,string,GA_SID_2018_CORE
CPT28,CPT/HCPCS procedure code 28,string,GA_SID_2018_CORE
CPT29,CPT/HCPCS procedure code 29,string,GA_SID_2018_CORE
CPT30,CPT/HCPCS procedure code 30,string,GA_SID_2018_CORE
CPT31,CPT/HCPCS procedure code 31,string,GA_SID_2018_CORE
CPT32,CPT/HCPCS procedure code 32,string,GA_SID_2018_CORE
CPT33,CPT/HCPCS procedure code 33,string,GA_SID_2018_CORE
CPT34,CPT/HCPCS procedure code 34,string,GA_SID_2018_CORE
CPT35,CPT/HCPCS procedure code 35,string,GA_SID_2018_CORE
CPT36,CPT/HCPCS procedure code 36,string,GA_SID_2018_CORE
CPT37,CPT/HCPCS procedure code 37,string,GA_SID_2018_CORE
CPT38,CPT/HCPCS procedure code 38,string,GA_SID_2018_CORE
CPT39,CPT/HCPCS procedure code 39,string,GA_SID_2018_CORE
CPT40,CPT/HCPCS procedure code 40,string,GA_SID_2018_CORE
CPT41,CPT/HCPCS procedure code 41,string,GA_SID_2018_CORE
CPT42,CPT/HCPCS procedure code 42,string,GA_SID_2018_CORE
CPT43,CPT/HCPCS procedure code 43,string,GA_SID_2018_CORE
CPT44,CPT/HCPCS procedure code 44,string,GA_SID_2018_CORE
CPT45,CPT/HCPCS procedure code 45,string,GA_SID_2018_CORE
CPT46,CPT/HCPCS procedure code 46,string,GA_SID_2018_CORE
CPT47,CPT/HCPCS procedure code 47,string,GA_SID_2018_CORE
CPT48,CPT/HCPCS procedure code 48,string,GA_SID_2018_CORE
CPT49,CPT/HCPCS procedure code 49,string,GA_SID_2018_CORE
CPT50,CPT/HCPCS procedure code 50,string,GA_SID_2018_CORE
CPT51,CPT/HCPCS procedure code 51,string,GA_SID_2018_CORE
CPT52,CPT/HCPCS procedure code 52,string,GA_SID_2018_CORE
CPT53,CPT/HCPCS procedure code 53,string,GA_SID_2018_CORE
CPT54,CPT/HCPCS procedure code 54,string,GA_SID_2018_CORE
CPT55,CPT/HCPCS procedure code 55,string,GA_SID_2018_CORE
CPT56,CPT/HCPCS procedure code 56,string,GA_SID_2018_CORE
CPT57,CPT/HCPCS procedure code 57,string,GA_SID_2018_CORE
CPT58,CPT/HCPCS procedure code 58,string,GA_SID_2018_CORE
CPT59,CPT/HCPCS procedure code 59,string,GA_SID_2018_CORE
CPT60,CPT/HCPCS procedure code 60,string,GA_SID_2018_CORE
CPT61,CPT/HCPCS procedure code 61,string,GA_SID_2018_CORE
CPT62,CPT/HCPCS procedure code 62,string,GA_SID_2018_CORE
CPT63,CPT/HCPCS procedure code 63,string,GA_SID_2018_CORE
CPT64,CPT/HCPCS procedure code 64,string,GA_SID_2018_CORE
CPT65,CPT/HCPCS procedure code 65,string,GA_SID_2018_CORE
CPT66,CPT/HCPCS procedure code 66,string,GA_SID_2018_CORE
CPT67,CPT/HCPCS procedure code 67,string,GA_SID_2018_CORE
CPT68,CPT/HCPCS procedure code 68,string,GA_SID_2018_CORE
CPT69,CPT/HCPCS procedure code 69,string,GA_SID_2018_CORE
CPT70,CPT/HCPCS procedure code 70,string,GA_SID_2018_CORE
CPT71,CPT/HCPCS procedure code 71,string,GA_SID_2018_CORE
CPT72,CPT/HCPCS procedure code 72,string,GA_SID_2018_CORE
CPT73,CPT/HCPCS procedure code 73,string,GA_SID_2018_CORE
CPT74,CPT/HCPCS procedure code 74,string,GA_SID_2018_CORE
CPT75,CPT/HCPCS procedure code 75,string,GA_SID_2018_CORE
CPT76,CPT/HCPCS procedure code 76,string,GA_SID_2018_CORE
CPT77,CPT/HCPCS procedure code 77,string,GA_SID_2018_CORE
CPT78,CPT/HCPCS procedure code 78,string,GA_SID_2018_CORE
CPT79,CPT/HCPCS procedure code 79,string,GA_SID_2018_CORE
CPT80,CPT/HCPCS procedure code 80,string,GA_SID_2018_CORE
CPT81,CPT/HCPCS procedure code 81,string,GA_SID_2018_CORE
CPT82,CPT/HCPCS procedure code 82,string,GA_SID_2018_CORE
CPT83,CPT/HCPCS procedure code 83,string,GA_SID_2018_CORE
CPT84,CPT/HCPCS procedure code 84,string,GA_SID_2018_CORE
CPT85,CPT/HCPCS procedure code 85,string,GA_SID_2018_CORE
CPT86,CPT/HCPCS procedure code 86,string,GA_SID_2018_CORE
CPT87,CPT/HCPCS procedure code 87,string,GA_SID_2018_CORE
CPT88,CPT/HCPCS procedure code 88,string,GA_SID_2018_CORE
CPT89,CPT/HCPCS procedure code 89,string,GA_SID_2018_CORE
CPT90,CPT/HCPCS procedure code 90,string,GA_SID_2018_CORE
CPT91,CPT/HCPCS procedure code 91,string,GA_SID_2018_CORE
CPT92,CPT/HCPCS procedure code 92,string,GA_SID_2018_CORE
CPT93,CPT/HCPCS procedure code 93,string,GA_SID_2018_CORE
CPT94,CPT/HCPCS procedure code 94,string,GA_SID_2018_CORE
CPT95,CPT/HCPCS procedure code 95,string,GA_SID_2018_CORE
CPT96,CPT/HCPCS procedure code 96,string,GA_SID_2018_CORE
CPT97,CPT/HCPCS procedure code 97,string,GA_SID_2018_CORE
CPT98,CPT/HCPCS procedure code 98,string,GA_SID_2018_CORE
CPT99,CPT/HCPCS procedure code 99,string,GA_SID_2018_CORE
CPT100,CPT/HCPCS procedure code 100,string,GA_SID_2018_CORE
CPTCCS1,CCS: CPT 1,int32,GA_SID_2018_CORE
CPTCCS2,CCS: CPT 2,int32,GA_SID_2018_CORE
CPTCCS3,CCS: CPT 3,int32,GA_SID_2018_CORE
CPTCCS4,CCS: CPT 4,int32,GA_SID_2018_CORE
CPTCCS5,CCS: CPT 5,int32,GA_SID_2018_CORE
CPTCCS6,CCS: CPT 6,int32,GA_SID_2018_CORE
CPTCCS7,CCS: CPT 7,int32,GA_SID_2018_CORE
CPTCCS8,CCS: CPT 8,int32,GA_SID_2018_CORE
CPTCCS9,CCS: CPT 9,int32,GA_SID_2018_CORE
CPTCCS10,CCS: CPT 10,int32,GA_SID_2018_CORE
CPTCCS11,CCS: CPT 11,int32,GA_SID_2018_CORE
CPTCCS12,CCS: CPT 12,int32,GA_SID_2018_CORE
CPTCCS13,CCS: CPT 13,int32,GA_SID_2018_CORE
CPTCCS14,CCS: CPT 14,int32,GA_SID_2018_CORE
CPTCCS15,CCS: CPT 15,int32,GA_SID_2018_CORE
CPTCCS16,CCS: CPT 16,int32,GA_SID_2018_CORE
CPTCCS17,CCS: CPT 17,int32,GA_SID_2018_CORE
CPTCCS18,CCS: CPT 18,int32,GA_SID_2018_CORE
CPTCCS19,CCS: CPT 19,int32,GA_SID_2018_CORE
CPTCCS20,CCS: CPT 20,int32,GA_SID_2018_CORE
CPTCCS21,CCS: CPT 21,int32,GA_SID_2018_CORE
CPTCCS22,CCS: CPT 22,int32,GA_SID_2018_CORE
CPTCCS23,CCS: CPT 23,int32,GA_SID_2018_CORE
CPTCCS24,CCS: CPT 24,int32,GA_SID_2018_CORE
CPTCCS25,CCS: CPT 25,int32,GA_SID_2018_CORE
CPTCCS26,CCS: CPT 26,int32,GA_SID_2018_CORE
CPTCCS27,CCS: CPT 27,int32,GA_SID_2018_CORE
CPTCCS28,CCS: CPT 28,int32,GA_SID_2018_CORE
CPTCCS29,CCS: CPT 29,int32,GA_SID_2018_CORE
CPTCCS30,CCS: CPT 30,int32,GA_SID_2018_CORE
CPTCCS31,CCS: CPT 31,int32,GA_SID_2018_CORE
CPTCCS32,CCS: CPT 32,int32,GA_SID_2018_CORE
CPTCCS33,CCS: CPT 33,int32,GA_SID_2018_CORE
CPTCCS34,CCS: CPT 34,int32,GA_SID_2018_CORE
CPTCCS35,CCS: CPT 35,int32,GA_SID_2018_CORE
CPTCCS36,CCS: CPT 36,int32,GA_SID_2018_CORE
CPTCCS37,CCS: CPT 37,int32,GA_SID_2018_CORE
CPTCCS38,CCS: CPT 38,int32,GA_SID_2018_CORE
CPTCCS39,CCS: CPT 39,int32,GA_SID_2018_CORE
CPTCCS40,CCS: CPT 40,int32,GA_SID_2018_CORE
CPTCCS41,CCS: CPT 41,int32,GA_SID_2018_CORE
CPTCCS42,CCS: CPT 42,int32,GA_SID_2018_CORE
CPTCCS43,CCS: CPT 43,int32,GA_SID_2018_CORE
CPTCCS44,CCS: CPT 44,int32,GA_SID_2018_CORE
CPTCCS45,CCS: CPT 45,int32,GA_SID_2018_CORE
CPTCCS46,CCS: CPT 46,int32,GA_SID_2018_CORE
CPTCCS47,CCS: CPT 47,int32,GA_SID_2018_CORE
CPTCCS48,CCS: CPT 48,int32,GA_SID_2018_CORE
CPTCCS49,CCS: CPT 49,int32,GA_SID_2018_CORE
CPTCCS50,CCS: CPT 50,int32,GA_SID_2018_CORE
CPTCCS51,CCS: CPT 51,int32,GA_SID_2018_CORE
CPTCCS52,CCS: CPT 52,int32,GA_SID_2018_CORE
CPTCCS53,CCS: CPT 53,int32,GA_SID_2018_CORE
CPTCCS54,CCS: CPT 54,int32,GA_SID_2018_CORE
CPTCCS55,CCS: CPT 55,int32,GA_SID_2018_CORE
CPTCCS56,CCS: CPT 56,int32,GA_SID_2018_CORE
CPTCCS57,CCS: CPT 57,int32,GA_SID_2018_CORE
CPTCCS58,CCS: CPT 58,int32,GA_SID_2018_CORE
CPTCCS59,CCS: CPT 59,int32,GA_SID_2018_CORE
CPTCCS60,CCS: CPT 60,int32,GA_SID_2018_CORE
CPTCCS61,CCS: CPT 61,int32,GA_SID_2018_CORE
CPTCCS62,CCS: CPT 62,int32,GA_SID_2018_CORE
CPTCCS63,CCS: CPT 63,int32,GA_SID_2018_CORE
CPTCCS64,CCS: CPT 64,int32,GA_SID_2018_CORE
CPTCCS65,CCS: CPT 65,int32,GA_SID_2018_CORE
