var,value_type,dataset_id
KEY,double,KY_SID_2012_SEVERITY
CM_AIDS,double,KY_SID_2012_SEVERITY
CM_ALCOHOL,double,KY_SID_2012_SEVERITY
CM_ANEMDEF,double,KY_SID_2012_SEVERITY
CM_ARTH,double,KY_SID_2012_SEVERITY
CM_BLDLOSS,double,KY_SID_2012_SEVERITY
CM_CHF,double,KY_SID_2012_SEVERITY
CM_CHRNLUNG,double,KY_SID_2012_SEVERITY
CM_COAG,double,KY_SID_2012_SEVERITY
CM_DEPRESS,double,KY_SID_2012_SEVERITY
CM_DM,double,KY_SID_2012_SEVERITY
CM_DMCX,double,KY_SID_2012_SEVERITY
CM_DRUG,double,KY_SID_2012_SEVERITY
CM_HTN_C,double,KY_SID_2012_SEVERITY
CM_HYPOTHY,double,KY_SID_2012_SEVERITY
CM_LIVER,double,KY_SID_2012_SEVERITY
CM_LYMPH,double,KY_SID_2012_SEVERITY
CM_LYTES,double,KY_SID_2012_SEVERITY
CM_METS,double,KY_SID_2012_SEVERITY
CM_NEURO,double,KY_SID_2012_SEVERITY
CM_OBESE,double,KY_SID_2012_SEVERITY
CM_PARA,double,KY_SID_2012_SEVERITY
CM_PERIVASC,double,KY_SID_2012_SEVERITY
CM_PSYCH,double,KY_SID_2012_SEVERITY
CM_PULMCIRC,double,KY_SID_2012_SEVERITY
CM_RENLFAIL,double,KY_SID_2012_SEVERITY
CM_TUMOR,double,KY_SID_2012_SEVERITY
CM_ULCER,double,KY_SID_2012_SEVERITY
CM_VALVE,double,KY_SID_2012_SEVERITY
CM_WGHTLOSS,double,KY_SID_2012_SEVERITY
