var,value_type,dataset_id
AGE,double,KY_SID_2013_CORE
AGEDAY,double,KY_SID_2013_CORE
AGEMONTH,double,KY_SID_2013_CORE
AMONTH,double,KY_SID_2013_CORE
ATYPE,double,KY_SID_2013_CORE
AWEEKEND,double,KY_SID_2013_CORE
BILLTYPE,string,KY_SID_2013_CORE
BWT,double,KY_SID_2013_CORE
DIED,double,KY_SID_2013_CORE
DISPUB04,double,KY_SID_2013_CORE
DISPUNIFORM,double,KY_SID_2013_CORE
DISP_X,string,KY_SID_2013_CORE
DMONTH,double,KY_SID_2013_CORE
DNR,double,KY_SID_2013_CORE
DQTR,double,KY_SID_2013_CORE
DRG,double,KY_SID_2013_CORE
DRG24,double,KY_SID_2013_CORE
DRGVER,double,KY_SID_2013_CORE
DRG_NoPOA,double,KY_SID_2013_CORE
DSHOSPID,string,KY_SID_2013_CORE
DX1,string,KY_SID_2013_CORE
DX2,string,KY_SID_2013_CORE
DX3,string,KY_SID_2013_CORE
DX4,string,KY_SID_2013_CORE
DX5,string,KY_SID_2013_CORE
DX6,string,KY_SID_2013_CORE
DX7,string,KY_SID_2013_CORE
DX8,string,KY_SID_2013_CORE
DX9,string,KY_SID_2013_CORE
DX10,string,KY_SID_2013_CORE
DX11,string,KY_SID_2013_CORE
DX12,string,KY_SID_2013_CORE
DX13,string,KY_SID_2013_CORE
DX14,string,KY_SID_2013_CORE
DX15,string,KY_SID_2013_CORE
DX16,string,KY_SID_2013_CORE
DX17,string,KY_SID_2013_CORE
DX18,string,KY_SID_2013_CORE
DX19,string,KY_SID_2013_CORE
DX20,string,KY_SID_2013_CORE
DX21,string,KY_SID_2013_CORE
DX22,string,KY_SID_2013_CORE
DX23,string,KY_SID_2013_CORE
DX24,string,KY_SID_2013_CORE
DX25,string,KY_SID_2013_CORE
DXCCS1,double,KY_SID_2013_CORE
DXCCS2,double,KY_SID_2013_CORE
DXCCS3,double,KY_SID_2013_CORE
DXCCS4,double,KY_SID_2013_CORE
DXCCS5,double,KY_SID_2013_CORE
DXCCS6,double,KY_SID_2013_CORE
DXCCS7,double,KY_SID_2013_CORE
DXCCS8,double,KY_SID_2013_CORE
DXCCS9,double,KY_SID_2013_CORE
DXCCS10,double,KY_SID_2013_CORE
DXCCS11,double,KY_SID_2013_CORE
DXCCS12,double,KY_SID_2013_CORE
DXCCS13,double,KY_SID_2013_CORE
DXCCS14,double,KY_SID_2013_CORE
DXCCS15,double,KY_SID_2013_CORE
DXCCS16,double,KY_SID_2013_CORE
DXCCS17,double,KY_SID_2013_CORE
DXCCS18,double,KY_SID_2013_CORE
DXCCS19,double,KY_SID_2013_CORE
DXCCS20,double,KY_SID_2013_CORE
DXCCS21,double,KY_SID_2013_CORE
DXCCS22,double,KY_SID_2013_CORE
DXCCS23,double,KY_SID_2013_CORE
DXCCS24,double,KY_SID_2013_CORE
DXCCS25,double,KY_SID_2013_CORE
DXPOA1,string,KY_SID_2013_CORE
DXPOA2,string,KY_SID_2013_CORE
DXPOA3,string,KY_SID_2013_CORE
DXPOA4,string,KY_SID_2013_CORE
DXPOA5,string,KY_SID_2013_CORE
DXPOA6,string,KY_SID_2013_CORE
DXPOA7,string,KY_SID_2013_CORE
DXPOA8,string,KY_SID_2013_CORE
DXPOA9,string,KY_SID_2013_CORE
DXPOA10,string,KY_SID_2013_CORE
DXPOA11,string,KY_SID_2013_CORE
DXPOA12,string,KY_SID_2013_CORE
DXPOA13,string,KY_SID_2013_CORE
DXPOA14,string,KY_SID_2013_CORE
DXPOA15,string,KY_SID_2013_CORE
DXPOA16,string,KY_SID_2013_CORE
DXPOA17,string,KY_SID_2013_CORE
DXPOA18,string,KY_SID_2013_CORE
DXPOA19,string,KY_SID_2013_CORE
DXPOA20,string,KY_SID_2013_CORE
DXPOA21,string,KY_SID_2013_CORE
DXPOA22,string,KY_SID_2013_CORE
DXPOA23,string,KY_SID_2013_CORE
DXPOA24,string,KY_SID_2013_CORE
DXPOA25,string,KY_SID_2013_CORE
DX_Admitting,string,KY_SID_2013_CORE
ECODE1,string,KY_SID_2013_CORE
ECODE2,string,KY_SID_2013_CORE
ECODE3,string,KY_SID_2013_CORE
ECODE4,string,KY_SID_2013_CORE
ECODE5,string,KY_SID_2013_CORE
ECODE6,string,KY_SID_2013_CORE
ECODE7,string,KY_SID_2013_CORE
ECODE8,string,KY_SID_2013_CORE
E_CCS1,double,KY_SID_2013_CORE
E_CCS2,double,KY_SID_2013_CORE
E_CCS3,double,KY_SID_2013_CORE
E_CCS4,double,KY_SID_2013_CORE
E_CCS5,double,KY_SID_2013_CORE
E_CCS6,double,KY_SID_2013_CORE
E_CCS7,double,KY_SID_2013_CORE
E_CCS8,double,KY_SID_2013_CORE
E_POA1,string,KY_SID_2013_CORE
E_POA2,string,KY_SID_2013_CORE
E_POA3,string,KY_SID_2013_CORE
E_POA4,string,KY_SID_2013_CORE
E_POA5,string,KY_SID_2013_CORE
E_POA6,string,KY_SID_2013_CORE
E_POA7,string,KY_SID_2013_CORE
E_POA8,string,KY_SID_2013_CORE
FEMALE,double,KY_SID_2013_CORE
HCUP_ED,double,KY_SID_2013_CORE
HCUP_OS,double,KY_SID_2013_CORE
HISPANIC_X,string,KY_SID_2013_CORE
HOSPBRTH,double,KY_SID_2013_CORE
HOSPST,string,KY_SID_2013_CORE
HOSP_NPI,string,KY_SID_2013_CORE
KEY,double,KY_SID_2013_CORE
LOS,double,KY_SID_2013_CORE
LOS_X,double,KY_SID_2013_CORE
MDC,double,KY_SID_2013_CORE
MDC24,double,KY_SID_2013_CORE
