var,value_type,dataset_id
CHRON1,double,KY_SID_2013_DX_PR_GRPS
CHRON2,double,KY_SID_2013_DX_PR_GRPS
CHRON3,double,KY_SID_2013_DX_PR_GRPS
CHRON4,double,KY_SID_2013_DX_PR_GRPS
CHRON5,double,KY_SID_2013_DX_PR_GRPS
CHRON6,double,KY_SID_2013_DX_PR_GRPS
CHRON7,double,KY_SID_2013_DX_PR_GRPS
CHRON8,double,KY_SID_2013_DX_PR_GRPS
CHRON9,double,KY_SID_2013_DX_PR_GRPS
CHRON10,double,KY_SID_2013_DX_PR_GRPS
CHRON11,double,KY_SID_2013_DX_PR_GRPS
CHRON12,double,KY_SID_2013_DX_PR_GRPS
CHRON13,double,KY_SID_2013_DX_PR_GRPS
CHRON14,double,KY_SID_2013_DX_PR_GRPS
CHRON15,double,KY_SID_2013_DX_PR_GRPS
CHRON16,double,KY_SID_2013_DX_PR_GRPS
CHRON17,double,KY_SID_2013_DX_PR_GRPS
CHRON18,double,KY_SID_2013_DX_PR_GRPS
CHRON19,double,KY_SID_2013_DX_PR_GRPS
CHRON20,double,KY_SID_2013_DX_PR_GRPS
CHRON21,double,KY_SID_2013_DX_PR_GRPS
CHRON22,double,KY_SID_2013_DX_PR_GRPS
CHRON23,double,KY_SID_2013_DX_PR_GRPS
CHRON24,double,KY_SID_2013_DX_PR_GRPS
CHRON25,double,KY_SID_2013_DX_PR_GRPS
CHRONB1,double,KY_SID_2013_DX_PR_GRPS
CHRONB2,double,KY_SID_2013_DX_PR_GRPS
CHRONB3,double,KY_SID_2013_DX_PR_GRPS
CHRONB4,double,KY_SID_2013_DX_PR_GRPS
CHRONB5,double,KY_SID_2013_DX_PR_GRPS
CHRONB6,double,KY_SID_2013_DX_PR_GRPS
CHRONB7,double,KY_SID_2013_DX_PR_GRPS
CHRONB8,double,KY_SID_2013_DX_PR_GRPS
CHRONB9,double,KY_SID_2013_DX_PR_GRPS
CHRONB10,double,KY_SID_2013_DX_PR_GRPS
CHRONB11,double,KY_SID_2013_DX_PR_GRPS
CHRONB12,double,KY_SID_2013_DX_PR_GRPS
CHRONB13,double,KY_SID_2013_DX_PR_GRPS
CHRONB14,double,KY_SID_2013_DX_PR_GRPS
CHRONB15,double,KY_SID_2013_DX_PR_GRPS
CHRONB16,double,KY_SID_2013_DX_PR_GRPS
CHRONB17,double,KY_SID_2013_DX_PR_GRPS
CHRONB18,double,KY_SID_2013_DX_PR_GRPS
CHRONB19,double,KY_SID_2013_DX_PR_GRPS
CHRONB20,double,KY_SID_2013_DX_PR_GRPS
CHRONB21,double,KY_SID_2013_DX_PR_GRPS
CHRONB22,double,KY_SID_2013_DX_PR_GRPS
CHRONB23,double,KY_SID_2013_DX_PR_GRPS
CHRONB24,double,KY_SID_2013_DX_PR_GRPS
CHRONB25,double,KY_SID_2013_DX_PR_GRPS
DXMCCS1,string,KY_SID_2013_DX_PR_GRPS
DXMCCS2,string,KY_SID_2013_DX_PR_GRPS
DXMCCS3,string,KY_SID_2013_DX_PR_GRPS
DXMCCS4,string,KY_SID_2013_DX_PR_GRPS
DXMCCS5,string,KY_SID_2013_DX_PR_GRPS
DXMCCS6,string,KY_SID_2013_DX_PR_GRPS
DXMCCS7,string,KY_SID_2013_DX_PR_GRPS
DXMCCS8,string,KY_SID_2013_DX_PR_GRPS
DXMCCS9,string,KY_SID_2013_DX_PR_GRPS
DXMCCS10,string,KY_SID_2013_DX_PR_GRPS
DXMCCS11,string,KY_SID_2013_DX_PR_GRPS
DXMCCS12,string,KY_SID_2013_DX_PR_GRPS
DXMCCS13,string,KY_SID_2013_DX_PR_GRPS
DXMCCS14,string,KY_SID_2013_DX_PR_GRPS
DXMCCS15,string,KY_SID_2013_DX_PR_GRPS
DXMCCS16,string,KY_SID_2013_DX_PR_GRPS
DXMCCS17,string,KY_SID_2013_DX_PR_GRPS
DXMCCS18,string,KY_SID_2013_DX_PR_GRPS
DXMCCS19,string,KY_SID_2013_DX_PR_GRPS
DXMCCS20,string,KY_SID_2013_DX_PR_GRPS
DXMCCS21,string,KY_SID_2013_DX_PR_GRPS
DXMCCS22,string,KY_SID_2013_DX_PR_GRPS
DXMCCS23,string,KY_SID_2013_DX_PR_GRPS
DXMCCS24,string,KY_SID_2013_DX_PR_GRPS
DXMCCS25,string,KY_SID_2013_DX_PR_GRPS
E_MCCS1,string,KY_SID_2013_DX_PR_GRPS
E_MCCS2,string,KY_SID_2013_DX_PR_GRPS
E_MCCS3,string,KY_SID_2013_DX_PR_GRPS
E_MCCS4,string,KY_SID_2013_DX_PR_GRPS
E_MCCS5,string,KY_SID_2013_DX_PR_GRPS
E_MCCS6,string,KY_SID_2013_DX_PR_GRPS
E_MCCS7,string,KY_SID_2013_DX_PR_GRPS
E_MCCS8,string,KY_SID_2013_DX_PR_GRPS
INJURY,double,KY_SID_2013_DX_PR_GRPS
INJURY_CUT,double,KY_SID_2013_DX_PR_GRPS
INJURY_DROWN,double,KY_SID_2013_DX_PR_GRPS
INJURY_FALL,double,KY_SID_2013_DX_PR_GRPS
INJURY_FIRE,double,KY_SID_2013_DX_PR_GRPS
INJURY_FIREARM,double,KY_SID_2013_DX_PR_GRPS
INJURY_MACHINERY,double,KY_SID_2013_DX_PR_GRPS
INJURY_MVT,double,KY_SID_2013_DX_PR_GRPS
INJURY_NATURE,double,KY_SID_2013_DX_PR_GRPS
INJURY_POISON,double,KY_SID_2013_DX_PR_GRPS
INJURY_STRUCK,double,KY_SID_2013_DX_PR_GRPS
INJURY_SUFFOCATION,double,KY_SID_2013_DX_PR_GRPS
INTENT_ASSAULT,double,KY_SID_2013_DX_PR_GRPS
