var,var_label,value_type,dataset_id
I10_BODYSYSTEM1,ICD-10-CM Body system 1,int32,KY_SID_2015q4_DX_PR_GRPS
I10_BODYSYSTEM2,ICD-10-CM Body system 2,int32,KY_SID_2015q4_DX_PR_GRPS
I10_BODYSYSTEM3,ICD-10-CM Body system 3,int32,KY_SID_2015q4_DX_PR_GRPS
I10_BODYSYSTEM4,ICD-10-CM Body system 4,int32,KY_SID_2015q4_DX_PR_GRPS
I10_BODYSYSTEM5,ICD-10-CM Body system 5,int32,KY_SID_2015q4_DX_PR_GRPS
I10_BODYSYSTEM6,ICD-10-CM Body system 6,int32,KY_SID_2015q4_DX_PR_GRPS
I10_BODYSYSTEM7,ICD-10-CM Body system 7,int32,KY_SID_2015q4_DX_PR_GRPS
I10_BODYSYSTEM8,ICD-10-CM Body system 8,int32,KY_SID_2015q4_DX_PR_GRPS
I10_BODYSYSTEM9,ICD-10-CM Body system 9,int32,KY_SID_2015q4_DX_PR_GRPS
I10_BODYSYSTEM10,ICD-10-CM Body system 10,int32,KY_SID_2015q4_DX_PR_GRPS
I10_BODYSYSTEM11,ICD-10-CM Body system 11,int32,KY_SID_2015q4_DX_PR_GRPS
I10_BODYSYSTEM12,ICD-10-CM Body system 12,int32,KY_SID_2015q4_DX_PR_GRPS
I10_BODYSYSTEM13,ICD-10-CM Body system 13,int32,KY_SID_2015q4_DX_PR_GRPS
I10_BODYSYSTEM14,ICD-10-CM Body system 14,int32,KY_SID_2015q4_DX_PR_GRPS
I10_BODYSYSTEM15,ICD-10-CM Body system 15,int32,KY_SID_2015q4_DX_PR_GRPS
I10_BODYSYSTEM16,ICD-10-CM Body system 16,int32,KY_SID_2015q4_DX_PR_GRPS
I10_BODYSYSTEM17,ICD-10-CM Body system 17,int32,KY_SID_2015q4_DX_PR_GRPS
I10_BODYSYSTEM18,ICD-10-CM Body system 18,int32,KY_SID_2015q4_DX_PR_GRPS
I10_BODYSYSTEM19,ICD-10-CM Body system 19,int32,KY_SID_2015q4_DX_PR_GRPS
I10_BODYSYSTEM20,ICD-10-CM Body system 20,int32,KY_SID_2015q4_DX_PR_GRPS
I10_BODYSYSTEM21,ICD-10-CM Body system 21,int32,KY_SID_2015q4_DX_PR_GRPS
I10_BODYSYSTEM22,ICD-10-CM Body system 22,int32,KY_SID_2015q4_DX_PR_GRPS
I10_BODYSYSTEM23,ICD-10-CM Body system 23,int32,KY_SID_2015q4_DX_PR_GRPS
I10_BODYSYSTEM24,ICD-10-CM Body system 24,int32,KY_SID_2015q4_DX_PR_GRPS
I10_BODYSYSTEM25,ICD-10-CM Body system 25,int32,KY_SID_2015q4_DX_PR_GRPS
I10_CHRON1,ICD-10-CM Chronic condition indicator 1,int32,KY_SID_2015q4_DX_PR_GRPS
I10_CHRON2,ICD-10-CM Chronic condition indicator 2,int32,KY_SID_2015q4_DX_PR_GRPS
I10_CHRON3,ICD-10-CM Chronic condition indicator 3,int32,KY_SID_2015q4_DX_PR_GRPS
I10_CHRON4,ICD-10-CM Chronic condition indicator 4,int32,KY_SID_2015q4_DX_PR_GRPS
I10_CHRON5,ICD-10-CM Chronic condition indicator 5,int32,KY_SID_2015q4_DX_PR_GRPS
I10_CHRON6,ICD-10-CM Chronic condition indicator 6,int32,KY_SID_2015q4_DX_PR_GRPS
I10_CHRON7,ICD-10-CM Chronic condition indicator 7,int32,KY_SID_2015q4_DX_PR_GRPS
I10_CHRON8,ICD-10-CM Chronic condition indicator 8,int32,KY_SID_2015q4_DX_PR_GRPS
I10_CHRON9,ICD-10-CM Chronic condition indicator 9,int32,KY_SID_2015q4_DX_PR_GRPS
I10_CHRON10,ICD-10-CM Chronic condition indicator 10,int32,KY_SID_2015q4_DX_PR_GRPS
I10_CHRON11,ICD-10-CM Chronic condition indicator 11,int32,KY_SID_2015q4_DX_PR_GRPS
I10_CHRON12,ICD-10-CM Chronic condition indicator 12,int32,KY_SID_2015q4_DX_PR_GRPS
I10_CHRON13,ICD-10-CM Chronic condition indicator 13,int32,KY_SID_2015q4_DX_PR_GRPS
I10_CHRON14,ICD-10-CM Chronic condition indicator 14,int32,KY_SID_2015q4_DX_PR_GRPS
I10_CHRON15,ICD-10-CM Chronic condition indicator 15,int32,KY_SID_2015q4_DX_PR_GRPS
I10_CHRON16,ICD-10-CM Chronic condition indicator 16,int32,KY_SID_2015q4_DX_PR_GRPS
I10_CHRON17,ICD-10-CM Chronic condition indicator 17,int32,KY_SID_2015q4_DX_PR_GRPS
I10_CHRON18,ICD-10-CM Chronic condition indicator 18,int32,KY_SID_2015q4_DX_PR_GRPS
I10_CHRON19,ICD-10-CM Chronic condition indicator 19,int32,KY_SID_2015q4_DX_PR_GRPS
I10_CHRON20,ICD-10-CM Chronic condition indicator 20,int32,KY_SID_2015q4_DX_PR_GRPS
I10_CHRON21,ICD-10-CM Chronic condition indicator 21,int32,KY_SID_2015q4_DX_PR_GRPS
I10_CHRON22,ICD-10-CM Chronic condition indicator 22,int32,KY_SID_2015q4_DX_PR_GRPS
I10_CHRON23,ICD-10-CM Chronic condition indicator 23,int32,KY_SID_2015q4_DX_PR_GRPS
