var,value_type,dataset_id
KEY,double,MA_SID_2013_CHGS
NREVCD,double,MA_SID_2013_CHGS
REVCD1,string,MA_SID_2013_CHGS
REVCD2,string,MA_SID_2013_CHGS
REVCD3,string,MA_SID_2013_CHGS
REVCD4,string,MA_SID_2013_CHGS
REVCD5,string,MA_SID_2013_CHGS
REVCD6,string,MA_SID_2013_CHGS
REVCD7,string,MA_SID_2013_CHGS
REVCD8,string,MA_SID_2013_CHGS
REVCD9,string,MA_SID_2013_CHGS
REVCD10,string,MA_SID_2013_CHGS
REVCD11,string,MA_SID_2013_CHGS
REVCD12,string,MA_SID_2013_CHGS
REVCD13,string,MA_SID_2013_CHGS
REVCD14,string,MA_SID_2013_CHGS
REVCD15,string,MA_SID_2013_CHGS
REVCD16,string,MA_SID_2013_CHGS
REVCD17,string,MA_SID_2013_CHGS
REVCD18,string,MA_SID_2013_CHGS
REVCD19,string,MA_SID_2013_CHGS
REVCD20,string,MA_SID_2013_CHGS
REVCD21,string,MA_SID_2013_CHGS
REVCD22,string,MA_SID_2013_CHGS
REVCD23,string,MA_SID_2013_CHGS
REVCD24,string,MA_SID_2013_CHGS
REVCD25,string,MA_SID_2013_CHGS
REVCD26,string,MA_SID_2013_CHGS
REVCD27,string,MA_SID_2013_CHGS
REVCD28,string,MA_SID_2013_CHGS
REVCD29,string,MA_SID_2013_CHGS
REVCD30,string,MA_SID_2013_CHGS
REVCD31,string,MA_SID_2013_CHGS
REVCD32,string,MA_SID_2013_CHGS
REVCD33,string,MA_SID_2013_CHGS
REVCD34,string,MA_SID_2013_CHGS
REVCD35,string,MA_SID_2013_CHGS
REVCD36,string,MA_SID_2013_CHGS
REVCD37,string,MA_SID_2013_CHGS
REVCD38,string,MA_SID_2013_CHGS
REVCD39,string,MA_SID_2013_CHGS
REVCD40,string,MA_SID_2013_CHGS
REVCD41,string,MA_SID_2013_CHGS
REVCD42,string,MA_SID_2013_CHGS
REVCD43,string,MA_SID_2013_CHGS
REVCD44,string,MA_SID_2013_CHGS
REVCHG1,double,MA_SID_2013_CHGS
REVCHG2,double,MA_SID_2013_CHGS
REVCHG3,double,MA_SID_2013_CHGS
REVCHG4,double,MA_SID_2013_CHGS
REVCHG5,double,MA_SID_2013_CHGS
REVCHG6,double,MA_SID_2013_CHGS
REVCHG7,double,MA_SID_2013_CHGS
REVCHG8,double,MA_SID_2013_CHGS
REVCHG9,double,MA_SID_2013_CHGS
REVCHG10,double,MA_SID_2013_CHGS
REVCHG11,double,MA_SID_2013_CHGS
REVCHG12,double,MA_SID_2013_CHGS
REVCHG13,double,MA_SID_2013_CHGS
REVCHG14,double,MA_SID_2013_CHGS
REVCHG15,double,MA_SID_2013_CHGS
REVCHG16,double,MA_SID_2013_CHGS
REVCHG17,double,MA_SID_2013_CHGS
REVCHG18,double,MA_SID_2013_CHGS
REVCHG19,double,MA_SID_2013_CHGS
REVCHG20,double,MA_SID_2013_CHGS
REVCHG21,double,MA_SID_2013_CHGS
REVCHG22,double,MA_SID_2013_CHGS
REVCHG23,double,MA_SID_2013_CHGS
REVCHG24,double,MA_SID_2013_CHGS
REVCHG25,double,MA_SID_2013_CHGS
REVCHG26,double,MA_SID_2013_CHGS
REVCHG27,double,MA_SID_2013_CHGS
REVCHG28,double,MA_SID_2013_CHGS
REVCHG29,double,MA_SID_2013_CHGS
REVCHG30,double,MA_SID_2013_CHGS
REVCHG31,double,MA_SID_2013_CHGS
REVCHG32,double,MA_SID_2013_CHGS
REVCHG33,double,MA_SID_2013_CHGS
REVCHG34,double,MA_SID_2013_CHGS
REVCHG35,double,MA_SID_2013_CHGS
REVCHG36,double,MA_SID_2013_CHGS
REVCHG37,double,MA_SID_2013_CHGS
REVCHG38,double,MA_SID_2013_CHGS
REVCHG39,double,MA_SID_2013_CHGS
REVCHG40,double,MA_SID_2013_CHGS
REVCHG41,double,MA_SID_2013_CHGS
REVCHG42,double,MA_SID_2013_CHGS
REVCHG43,double,MA_SID_2013_CHGS
REVCHG44,double,MA_SID_2013_CHGS
UNIT1,double,MA_SID_2013_CHGS
UNIT2,double,MA_SID_2013_CHGS
UNIT3,double,MA_SID_2013_CHGS
UNIT4,double,MA_SID_2013_CHGS
UNIT5,double,MA_SID_2013_CHGS
UNIT6,double,MA_SID_2013_CHGS
UNIT7,double,MA_SID_2013_CHGS
UNIT8,double,MA_SID_2013_CHGS
UNIT9,double,MA_SID_2013_CHGS
UNIT10,double,MA_SID_2013_CHGS
UNIT11,double,MA_SID_2013_CHGS
UNIT12,double,MA_SID_2013_CHGS
UNIT13,double,MA_SID_2013_CHGS
UNIT14,double,MA_SID_2013_CHGS
UNIT15,double,MA_SID_2013_CHGS
UNIT16,double,MA_SID_2013_CHGS
UNIT17,double,MA_SID_2013_CHGS
UNIT18,double,MA_SID_2013_CHGS
UNIT19,double,MA_SID_2013_CHGS
UNIT20,double,MA_SID_2013_CHGS
UNIT21,double,MA_SID_2013_CHGS
UNIT22,double,MA_SID_2013_CHGS
UNIT23,double,MA_SID_2013_CHGS
UNIT24,double,MA_SID_2013_CHGS
UNIT25,double,MA_SID_2013_CHGS
UNIT26,double,MA_SID_2013_CHGS
UNIT27,double,MA_SID_2013_CHGS
UNIT28,double,MA_SID_2013_CHGS
UNIT29,double,MA_SID_2013_CHGS
UNIT30,double,MA_SID_2013_CHGS
UNIT31,double,MA_SID_2013_CHGS
UNIT32,double,MA_SID_2013_CHGS
UNIT33,double,MA_SID_2013_CHGS
UNIT34,double,MA_SID_2013_CHGS
UNIT35,double,MA_SID_2013_CHGS
UNIT36,double,MA_SID_2013_CHGS
UNIT37,double,MA_SID_2013_CHGS
UNIT38,double,MA_SID_2013_CHGS
UNIT39,double,MA_SID_2013_CHGS
UNIT40,double,MA_SID_2013_CHGS
UNIT41,double,MA_SID_2013_CHGS
UNIT42,double,MA_SID_2013_CHGS
UNIT43,double,MA_SID_2013_CHGS
UNIT44,double,MA_SID_2013_CHGS
