var,value_type,dataset_id
ADRG,double,MA_SID_2013_CORE
ADRGRISKMORTALITY,double,MA_SID_2013_CORE
ADRGSEV,double,MA_SID_2013_CORE
AGE,double,MA_SID_2013_CORE
AGEMONTH,double,MA_SID_2013_CORE
AMDC,double,MA_SID_2013_CORE
AMONTH,double,MA_SID_2013_CORE
ASOURCE,double,MA_SID_2013_CORE
ASOURCEUB92,string,MA_SID_2013_CORE
ASOURCE_X,string,MA_SID_2013_CORE
ATYPE,double,MA_SID_2013_CORE
AWEEKEND,double,MA_SID_2013_CORE
BWT,double,MA_SID_2013_CORE
DIED,double,MA_SID_2013_CORE
DISPUB04,double,MA_SID_2013_CORE
DISPUNIFORM,double,MA_SID_2013_CORE
DISP_X,string,MA_SID_2013_CORE
DMONTH,double,MA_SID_2013_CORE
DNR,double,MA_SID_2013_CORE
DQTR,double,MA_SID_2013_CORE
DRG,double,MA_SID_2013_CORE
DRG24,double,MA_SID_2013_CORE
DRGVER,double,MA_SID_2013_CORE
DRG_NoPOA,double,MA_SID_2013_CORE
DSHOSPID,string,MA_SID_2013_CORE
DX1,string,MA_SID_2013_CORE
DX2,string,MA_SID_2013_CORE
DX3,string,MA_SID_2013_CORE
DX4,string,MA_SID_2013_CORE
DX5,string,MA_SID_2013_CORE
DX6,string,MA_SID_2013_CORE
DX7,string,MA_SID_2013_CORE
DX8,string,MA_SID_2013_CORE
DX9,string,MA_SID_2013_CORE
DX10,string,MA_SID_2013_CORE
DX11,string,MA_SID_2013_CORE
DX12,string,MA_SID_2013_CORE
DX13,string,MA_SID_2013_CORE
DX14,string,MA_SID_2013_CORE
DX15,string,MA_SID_2013_CORE
DXCCS1,double,MA_SID_2013_CORE
DXCCS2,double,MA_SID_2013_CORE
DXCCS3,double,MA_SID_2013_CORE
DXCCS4,double,MA_SID_2013_CORE
DXCCS5,double,MA_SID_2013_CORE
DXCCS6,double,MA_SID_2013_CORE
DXCCS7,double,MA_SID_2013_CORE
DXCCS8,double,MA_SID_2013_CORE
DXCCS9,double,MA_SID_2013_CORE
DXCCS10,double,MA_SID_2013_CORE
DXCCS11,double,MA_SID_2013_CORE
DXCCS12,double,MA_SID_2013_CORE
DXCCS13,double,MA_SID_2013_CORE
DXCCS14,double,MA_SID_2013_CORE
DXCCS15,double,MA_SID_2013_CORE
DXPOA1,string,MA_SID_2013_CORE
DXPOA2,string,MA_SID_2013_CORE
DXPOA3,string,MA_SID_2013_CORE
DXPOA4,string,MA_SID_2013_CORE
DXPOA5,string,MA_SID_2013_CORE
DXPOA6,string,MA_SID_2013_CORE
DXPOA7,string,MA_SID_2013_CORE
DXPOA8,string,MA_SID_2013_CORE
DXPOA9,string,MA_SID_2013_CORE
DXPOA10,string,MA_SID_2013_CORE
DXPOA11,string,MA_SID_2013_CORE
DXPOA12,string,MA_SID_2013_CORE
DXPOA13,string,MA_SID_2013_CORE
DXPOA14,string,MA_SID_2013_CORE
DXPOA15,string,MA_SID_2013_CORE
DaysBetweenVisits,double,MA_SID_2013_CORE
DaysToEvent,double,MA_SID_2013_CORE
ECODE1,string,MA_SID_2013_CORE
ECODE2,string,MA_SID_2013_CORE
ECODE3,string,MA_SID_2013_CORE
ECODE4,string,MA_SID_2013_CORE
ECODE5,string,MA_SID_2013_CORE
ECODE6,string,MA_SID_2013_CORE
ECODE7,string,MA_SID_2013_CORE
ECODE8,string,MA_SID_2013_CORE
E_CCS1,double,MA_SID_2013_CORE
E_CCS2,double,MA_SID_2013_CORE
E_CCS3,double,MA_SID_2013_CORE
E_CCS4,double,MA_SID_2013_CORE
E_CCS5,double,MA_SID_2013_CORE
E_CCS6,double,MA_SID_2013_CORE
E_CCS7,double,MA_SID_2013_CORE
E_CCS8,double,MA_SID_2013_CORE
E_POA1,string,MA_SID_2013_CORE
E_POA2,string,MA_SID_2013_CORE
E_POA3,string,MA_SID_2013_CORE
E_POA4,string,MA_SID_2013_CORE
E_POA5,string,MA_SID_2013_CORE
E_POA6,string,MA_SID_2013_CORE
E_POA7,string,MA_SID_2013_CORE
E_POA8,string,MA_SID_2013_CORE
FEMALE,double,MA_SID_2013_CORE
