var,var_label,value_type,dataset_id
ADRG,All Patient Refined DRG,int32,MA_SID_2014_CORE
ADRGRISKMORTALITY,All Patient Refined DRG mortality risk,int32,MA_SID_2014_CORE
ADRGSEV,All Patient Refined DRG severity level,int32,MA_SID_2014_CORE
AGE,Age in years at admission,int32,MA_SID_2014_CORE
AGEMONTH,Age in months (when age < 11 years),int32,MA_SID_2014_CORE
AMDC,All Patient Refined MDC,int32,MA_SID_2014_CORE
AMONTH,Admission month,int32,MA_SID_2014_CORE
ASOURCE,Admission source (uniform),int32,MA_SID_2014_CORE
ASOURCEUB92,Admission source (UB-92 standard coding),string,MA_SID_2014_CORE
ASOURCE_X,Admission source (as received from source),string,MA_SID_2014_CORE
ATYPE,Admission type,int32,MA_SID_2014_CORE
AWEEKEND,Admission day is a weekend,int32,MA_SID_2014_CORE
BWT,Birth weight in grams,int32,MA_SID_2014_CORE
DIED,Died during hospitalization,int32,MA_SID_2014_CORE
DISPUB04,Disposition of patient (UB-04 standard coding),int32,MA_SID_2014_CORE
DISPUNIFORM,Disposition of patient (uniform),int32,MA_SID_2014_CORE
DISP_X,Disposition of patient (as received from source),string,MA_SID_2014_CORE
DMONTH,Discharge month,int32,MA_SID_2014_CORE
DNR,Do not resuscitate indicator,int32,MA_SID_2014_CORE
DQTR,Discharge quarter,int32,MA_SID_2014_CORE
DRG,DRG in effect on discharge date,int32,MA_SID_2014_CORE
DRG24,"DRG, version 24",int32,MA_SID_2014_CORE
DRGVER,DRG grouper version used on discharge date,int32,MA_SID_2014_CORE
DRG_NoPOA,"DRG in use on discharge date, calculated without POA",int32,MA_SID_2014_CORE
DSHOSPID,Data source hospital identifier,string,MA_SID_2014_CORE
DX1,Diagnosis 1,string,MA_SID_2014_CORE
DX2,Diagnosis 2,string,MA_SID_2014_CORE
DX3,Diagnosis 3,string,MA_SID_2014_CORE
DX4,Diagnosis 4,string,MA_SID_2014_CORE
DX5,Diagnosis 5,string,MA_SID_2014_CORE
DX6,Diagnosis 6,string,MA_SID_2014_CORE
DX7,Diagnosis 7,string,MA_SID_2014_CORE
DX8,Diagnosis 8,string,MA_SID_2014_CORE
DX9,Diagnosis 9,string,MA_SID_2014_CORE
DX10,Diagnosis 10,string,MA_SID_2014_CORE
DX11,Diagnosis 11,string,MA_SID_2014_CORE
DX12,Diagnosis 12,string,MA_SID_2014_CORE
DX13,Diagnosis 13,string,MA_SID_2014_CORE
DX14,Diagnosis 14,string,MA_SID_2014_CORE
DX15,Diagnosis 15,string,MA_SID_2014_CORE
DX16,Diagnosis 16,string,MA_SID_2014_CORE
DX17,Diagnosis 17,string,MA_SID_2014_CORE
DX18,Diagnosis 18,string,MA_SID_2014_CORE
DX19,Diagnosis 19,string,MA_SID_2014_CORE
DX20,Diagnosis 20,string,MA_SID_2014_CORE
DX21,Diagnosis 21,string,MA_SID_2014_CORE
DX22,Diagnosis 22,string,MA_SID_2014_CORE
DX23,Diagnosis 23,string,MA_SID_2014_CORE
DX24,Diagnosis 24,string,MA_SID_2014_CORE
DX25,Diagnosis 25,string,MA_SID_2014_CORE
DX26,Diagnosis 26,string,MA_SID_2014_CORE
DX27,Diagnosis 27,string,MA_SID_2014_CORE
DX28,Diagnosis 28,string,MA_SID_2014_CORE
DX29,Diagnosis 29,string,MA_SID_2014_CORE
DX30,Diagnosis 30,string,MA_SID_2014_CORE
DX31,Diagnosis 31,string,MA_SID_2014_CORE
DX32,Diagnosis 32,string,MA_SID_2014_CORE
DX33,Diagnosis 33,string,MA_SID_2014_CORE
DX34,Diagnosis 34,string,MA_SID_2014_CORE
DX35,Diagnosis 35,string,MA_SID_2014_CORE
DX36,Diagnosis 36,string,MA_SID_2014_CORE
DX37,Diagnosis 37,string,MA_SID_2014_CORE
DX38,Diagnosis 38,string,MA_SID_2014_CORE
DX39,Diagnosis 39,string,MA_SID_2014_CORE
DX40,Diagnosis 40,string,MA_SID_2014_CORE
DX41,Diagnosis 41,string,MA_SID_2014_CORE
DX42,Diagnosis 42,string,MA_SID_2014_CORE
DX43,Diagnosis 43,string,MA_SID_2014_CORE
DX44,Diagnosis 44,string,MA_SID_2014_CORE
DX45,Diagnosis 45,string,MA_SID_2014_CORE
DX46,Diagnosis 46,string,MA_SID_2014_CORE
DX47,Diagnosis 47,string,MA_SID_2014_CORE
DX48,Diagnosis 48,string,MA_SID_2014_CORE
DX49,Diagnosis 49,string,MA_SID_2014_CORE
DX50,Diagnosis 50,string,MA_SID_2014_CORE
DX51,Diagnosis 51,string,MA_SID_2014_CORE
DX52,Diagnosis 52,string,MA_SID_2014_CORE
DX53,Diagnosis 53,string,MA_SID_2014_CORE
DX54,Diagnosis 54,string,MA_SID_2014_CORE
DX55,Diagnosis 55,string,MA_SID_2014_CORE
DX56,Diagnosis 56,string,MA_SID_2014_CORE
DX57,Diagnosis 57,string,MA_SID_2014_CORE
DX58,Diagnosis 58,string,MA_SID_2014_CORE
DX59,Diagnosis 59,string,MA_SID_2014_CORE
DX60,Diagnosis 60,string,MA_SID_2014_CORE
DX61,Diagnosis 61,string,MA_SID_2014_CORE
DX62,Diagnosis 62,string,MA_SID_2014_CORE
DX63,Diagnosis 63,string,MA_SID_2014_CORE
DX64,Diagnosis 64,string,MA_SID_2014_CORE
DX65,Diagnosis 65,string,MA_SID_2014_CORE
DX66,Diagnosis 66,string,MA_SID_2014_CORE
DX67,Diagnosis 67,string,MA_SID_2014_CORE
DX68,Diagnosis 68,string,MA_SID_2014_CORE
DX69,Diagnosis 69,string,MA_SID_2014_CORE
DX70,Diagnosis 70,string,MA_SID_2014_CORE
DX71,Diagnosis 71,string,MA_SID_2014_CORE
DXCCS1,CCS: diagnosis 1,int32,MA_SID_2014_CORE
DXCCS2,CCS: diagnosis 2,int32,MA_SID_2014_CORE
DXCCS3,CCS: diagnosis 3,int32,MA_SID_2014_CORE
DXCCS4,CCS: diagnosis 4,int32,MA_SID_2014_CORE
DXCCS5,CCS: diagnosis 5,int32,MA_SID_2014_CORE
DXCCS6,CCS: diagnosis 6,int32,MA_SID_2014_CORE
DXCCS7,CCS: diagnosis 7,int32,MA_SID_2014_CORE
DXCCS8,CCS: diagnosis 8,int32,MA_SID_2014_CORE
DXCCS9,CCS: diagnosis 9,int32,MA_SID_2014_CORE
DXCCS10,CCS: diagnosis 10,int32,MA_SID_2014_CORE
DXCCS11,CCS: diagnosis 11,int32,MA_SID_2014_CORE
DXCCS12,CCS: diagnosis 12,int32,MA_SID_2014_CORE
DXCCS13,CCS: diagnosis 13,int32,MA_SID_2014_CORE
