var,var_label,value_type,dataset_id
KEY,HCUP record identifier,double,NJ_SID_2014_SEVERITY
CM_AIDS,AHRQ comorbidity measure: Acquired immune deficiency syndrome,int32,NJ_SID_2014_SEVERITY
CM_ALCOHOL,AHRQ comorbidity measure: Alcohol abuse,int32,NJ_SID_2014_SEVERITY
CM_ANEMDEF,AHRQ comorbidity measure: Deficiency anemias,int32,NJ_SID_2014_SEVERITY
CM_ARTH,AHRQ comorbidity measure: Rheumatoid arthritis/collagen vascular diseases,int32,NJ_SID_2014_SEVERITY
CM_BLDLOSS,AHRQ comorbidity measure: Chronic blood loss anemia,int32,NJ_SID_2014_SEVERITY
CM_CHF,AHRQ comorbidity measure: Congestive heart failure,int32,NJ_SID_2014_SEVERITY
CM_CHRNLUNG,AHRQ comorbidity measure: Chronic pulmonary disease,int32,NJ_SID_2014_SEVERITY
CM_COAG,AHRQ comorbidity measure: Coagulopathy,int32,NJ_SID_2014_SEVERITY
CM_DEPRESS,AHRQ comorbidity measure: Depression,int32,NJ_SID_2014_SEVERITY
CM_DM,"AHRQ comorbidity measure: Diabetes, uncomplicated",int32,NJ_SID_2014_SEVERITY
CM_DMCX,AHRQ comorbidity measure: Diabetes with chronic complications,int32,NJ_SID_2014_SEVERITY
CM_DRUG,AHRQ comorbidity measure: Drug abuse,int32,NJ_SID_2014_SEVERITY
CM_HTN_C,AHRQ comorbidity measure: Hypertension (combine uncomplicated and complicated),int32,NJ_SID_2014_SEVERITY
CM_HYPOTHY,AHRQ comorbidity measure: Hypothyroidism,int32,NJ_SID_2014_SEVERITY
CM_LIVER,AHRQ comorbidity measure: Liver disease,int32,NJ_SID_2014_SEVERITY
CM_LYMPH,AHRQ comorbidity measure: Lymphoma,int32,NJ_SID_2014_SEVERITY
CM_LYTES,AHRQ comorbidity measure: Fluid and electrolyte disorders,int32,NJ_SID_2014_SEVERITY
CM_METS,AHRQ comorbidity measure: Metastatic cancer,int32,NJ_SID_2014_SEVERITY
CM_NEURO,AHRQ comorbidity measure: Other neurological disorders,int32,NJ_SID_2014_SEVERITY
CM_OBESE,AHRQ comorbidity measure: Obesity,int32,NJ_SID_2014_SEVERITY
CM_PARA,AHRQ comorbidity measure: Paralysis,int32,NJ_SID_2014_SEVERITY
CM_PERIVASC,AHRQ comorbidity measure: Peripheral vascular disorders,int32,NJ_SID_2014_SEVERITY
CM_PSYCH,AHRQ comorbidity measure: Psychoses,int32,NJ_SID_2014_SEVERITY
CM_PULMCIRC,AHRQ comorbidity measure: Pulmonary circulation disorders,int32,NJ_SID_2014_SEVERITY
CM_RENLFAIL,AHRQ comorbidity measure: Renal failure,int32,NJ_SID_2014_SEVERITY
CM_TUMOR,AHRQ comorbidity measure: Solid tumor without metastasis,int32,NJ_SID_2014_SEVERITY
CM_ULCER,AHRQ comorbidity measure: Peptic ulcer disease excluding bleeding,int32,NJ_SID_2014_SEVERITY
CM_VALVE,AHRQ comorbidity measure: Valvular disease,int32,NJ_SID_2014_SEVERITY
CM_WGHTLOSS,AHRQ comorbidity measure: Weight loss,int32,NJ_SID_2014_SEVERITY
