var,var_label,value_type,dataset_id
AGE,Age in years at admission,int32,NJ_SID_2015q4_CORE
AGEDAY,Age in days (when age < 1 year),int32,NJ_SID_2015q4_CORE
AGEMONTH,Age in months (when age < 11 years),int32,NJ_SID_2015q4_CORE
AHOUR,Admission Hour,int32,NJ_SID_2015q4_CORE
AMONTH,Admission month,int32,NJ_SID_2015q4_CORE
ATYPE,Admission type,int32,NJ_SID_2015q4_CORE
AWEEKEND,Admission day is a weekend,int32,NJ_SID_2015q4_CORE
BILLTYPE,"Type of bill, UB-04 coding",string,NJ_SID_2015q4_CORE
BWT,Birth weight in grams,int32,NJ_SID_2015q4_CORE
CPT1,CPT/HCPCS procedure code 1,string,NJ_SID_2015q4_CORE
CPT2,CPT/HCPCS procedure code 2,string,NJ_SID_2015q4_CORE
CPT3,CPT/HCPCS procedure code 3,string,NJ_SID_2015q4_CORE
CPT4,CPT/HCPCS procedure code 4,string,NJ_SID_2015q4_CORE
CPT5,CPT/HCPCS procedure code 5,string,NJ_SID_2015q4_CORE
CPT6,CPT/HCPCS procedure code 6,string,NJ_SID_2015q4_CORE
CPT7,CPT/HCPCS procedure code 7,string,NJ_SID_2015q4_CORE
CPT8,CPT/HCPCS procedure code 8,string,NJ_SID_2015q4_CORE
CPT9,CPT/HCPCS procedure code 9,string,NJ_SID_2015q4_CORE
CPT10,CPT/HCPCS procedure code 10,string,NJ_SID_2015q4_CORE
CPT11,CPT/HCPCS procedure code 11,string,NJ_SID_2015q4_CORE
CPT12,CPT/HCPCS procedure code 12,string,NJ_SID_2015q4_CORE
CPT13,CPT/HCPCS procedure code 13,string,NJ_SID_2015q4_CORE
CPT14,CPT/HCPCS procedure code 14,string,NJ_SID_2015q4_CORE
CPT15,CPT/HCPCS procedure code 15,string,NJ_SID_2015q4_CORE
CPT16,CPT/HCPCS procedure code 16,string,NJ_SID_2015q4_CORE
CPT17,CPT/HCPCS procedure code 17,string,NJ_SID_2015q4_CORE
CPT18,CPT/HCPCS procedure code 18,string,NJ_SID_2015q4_CORE
CPT19,CPT/HCPCS procedure code 19,string,NJ_SID_2015q4_CORE
CPT20,CPT/HCPCS procedure code 20,string,NJ_SID_2015q4_CORE
CPT21,CPT/HCPCS procedure code 21,string,NJ_SID_2015q4_CORE
CPT22,CPT/HCPCS procedure code 22,string,NJ_SID_2015q4_CORE
CPT23,CPT/HCPCS procedure code 23,string,NJ_SID_2015q4_CORE
CPT24,CPT/HCPCS procedure code 24,string,NJ_SID_2015q4_CORE
CPT25,CPT/HCPCS procedure code 25,string,NJ_SID_2015q4_CORE
CPT26,CPT/HCPCS procedure code 26,string,NJ_SID_2015q4_CORE
CPT27,CPT/HCPCS procedure code 27,string,NJ_SID_2015q4_CORE
CPT28,CPT/HCPCS procedure code 28,string,NJ_SID_2015q4_CORE
CPT29,CPT/HCPCS procedure code 29,string,NJ_SID_2015q4_CORE
CPT30,CPT/HCPCS procedure code 30,string,NJ_SID_2015q4_CORE
CPT31,CPT/HCPCS procedure code 31,string,NJ_SID_2015q4_CORE
CPT32,CPT/HCPCS procedure code 32,string,NJ_SID_2015q4_CORE
CPT33,CPT/HCPCS procedure code 33,string,NJ_SID_2015q4_CORE
CPT34,CPT/HCPCS procedure code 34,string,NJ_SID_2015q4_CORE
CPT35,CPT/HCPCS procedure code 35,string,NJ_SID_2015q4_CORE
CPT36,CPT/HCPCS procedure code 36,string,NJ_SID_2015q4_CORE
CPT37,CPT/HCPCS procedure code 37,string,NJ_SID_2015q4_CORE
CPT38,CPT/HCPCS procedure code 38,string,NJ_SID_2015q4_CORE
CPT39,CPT/HCPCS procedure code 39,string,NJ_SID_2015q4_CORE
CPT40,CPT/HCPCS procedure code 40,string,NJ_SID_2015q4_CORE
CPT41,CPT/HCPCS procedure code 41,string,NJ_SID_2015q4_CORE
CPT42,CPT/HCPCS procedure code 42,string,NJ_SID_2015q4_CORE
CPT43,CPT/HCPCS procedure code 43,string,NJ_SID_2015q4_CORE
CPT44,CPT/HCPCS procedure code 44,string,NJ_SID_2015q4_CORE
CPT45,CPT/HCPCS procedure code 45,string,NJ_SID_2015q4_CORE
CPT46,CPT/HCPCS procedure code 46,string,NJ_SID_2015q4_CORE
CPT47,CPT/HCPCS procedure code 47,string,NJ_SID_2015q4_CORE
CPT48,CPT/HCPCS procedure code 48,string,NJ_SID_2015q4_CORE
CPT49,CPT/HCPCS procedure code 49,string,NJ_SID_2015q4_CORE
CPT50,CPT/HCPCS procedure code 50,string,NJ_SID_2015q4_CORE
CPTCCS1,CCS: CPT 1,int32,NJ_SID_2015q4_CORE
CPTCCS2,CCS: CPT 2,int32,NJ_SID_2015q4_CORE
CPTCCS3,CCS: CPT 3,int32,NJ_SID_2015q4_CORE
CPTCCS4,CCS: CPT 4,int32,NJ_SID_2015q4_CORE
CPTCCS5,CCS: CPT 5,int32,NJ_SID_2015q4_CORE
CPTCCS6,CCS: CPT 6,int32,NJ_SID_2015q4_CORE
CPTCCS7,CCS: CPT 7,int32,NJ_SID_2015q4_CORE
CPTCCS8,CCS: CPT 8,int32,NJ_SID_2015q4_CORE
CPTCCS9,CCS: CPT 9,int32,NJ_SID_2015q4_CORE
CPTCCS10,CCS: CPT 10,int32,NJ_SID_2015q4_CORE
CPTCCS11,CCS: CPT 11,int32,NJ_SID_2015q4_CORE
CPTCCS12,CCS: CPT 12,int32,NJ_SID_2015q4_CORE
CPTCCS13,CCS: CPT 13,int32,NJ_SID_2015q4_CORE
CPTCCS14,CCS: CPT 14,int32,NJ_SID_2015q4_CORE
CPTCCS15,CCS: CPT 15,int32,NJ_SID_2015q4_CORE
CPTCCS16,CCS: CPT 16,int32,NJ_SID_2015q4_CORE
CPTCCS17,CCS: CPT 17,int32,NJ_SID_2015q4_CORE
CPTCCS18,CCS: CPT 18,int32,NJ_SID_2015q4_CORE
CPTCCS19,CCS: CPT 19,int32,NJ_SID_2015q4_CORE
CPTCCS20,CCS: CPT 20,int32,NJ_SID_2015q4_CORE
CPTCCS21,CCS: CPT 21,int32,NJ_SID_2015q4_CORE
CPTCCS22,CCS: CPT 22,int32,NJ_SID_2015q4_CORE
CPTCCS23,CCS: CPT 23,int32,NJ_SID_2015q4_CORE
CPTCCS24,CCS: CPT 24,int32,NJ_SID_2015q4_CORE
CPTCCS25,CCS: CPT 25,int32,NJ_SID_2015q4_CORE
CPTCCS26,CCS: CPT 26,int32,NJ_SID_2015q4_CORE
CPTCCS27,CCS: CPT 27,int32,NJ_SID_2015q4_CORE
CPTCCS28,CCS: CPT 28,int32,NJ_SID_2015q4_CORE
CPTCCS29,CCS: CPT 29,int32,NJ_SID_2015q4_CORE
CPTCCS30,CCS: CPT 30,int32,NJ_SID_2015q4_CORE
CPTCCS31,CCS: CPT 31,int32,NJ_SID_2015q4_CORE
CPTCCS32,CCS: CPT 32,int32,NJ_SID_2015q4_CORE
CPTCCS33,CCS: CPT 33,int32,NJ_SID_2015q4_CORE
CPTCCS34,CCS: CPT 34,int32,NJ_SID_2015q4_CORE
CPTCCS35,CCS: CPT 35,int32,NJ_SID_2015q4_CORE
CPTCCS36,CCS: CPT 36,int32,NJ_SID_2015q4_CORE
CPTCCS37,CCS: CPT 37,int32,NJ_SID_2015q4_CORE
CPTCCS38,CCS: CPT 38,int32,NJ_SID_2015q4_CORE
CPTCCS39,CCS: CPT 39,int32,NJ_SID_2015q4_CORE
